sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch
22,22.0,207.11489999999995
19,41.0,144.56579999999997
24,64.0,207.71430000000007
23,86.0,197.22830000000002
23,109.0,216.87540000000007
21,129.0,195.04919999999998
25,153.0,238.4321
22,175.0,186.81760000000003
19,193.0,174.49729999999997
23,216.0,206.7748
22,237.0,186.53629999999998
21,258.0,196.32720000000003
23,280.0,217.5753
20,300.0,185.25910000000005
21,321.0,195.25059999999996
25,345.0,228.30739999999997
22,367.0,186.37279999999996
22,388.0,196.98620000000008
20,408.0,155.242
3,411.0,14.760800000000009
1,412.0,-12.407700000000004
1,413.0,-5.151300000000001
1,414.0,-3.5296999999999983
0,414.0,-21.485200000000003
1,415.0,-6.301500000000001
1,416.0,-11.429099999999996
0,416.0,-21.218200000000003
1,417.0,-7.020700000000002
0,417.0,-18.9103
1,418.0,-6.601699999999999
0,418.0,-16.906299999999998
2,419.0,1.6048999999999989
1,420.0,-8.6043
1,421.0,-13.210300000000002
1,422.0,-6.2147
1,423.0,-7.783600000000002
1,424.0,-6.8223
0,424.0,-21.468600000000002
1,425.0,-12.370199999999999
2,427.0,1.7682000000000004
2,429.0,0.36950000000000005
1,430.0,-9.263099999999996
2,432.0,3.5142999999999995
2,434.0,-9.948899999999998
1,435.0,-6.337600000000001
2,437.0,2.850499999999999
1,438.0,-10.404899999999992
2,440.0,5.207899999999998
2,442.0,6.635
1,443.0,-10.981600000000002
2,445.0,1.974499999999996
2,447.0,2.298600000000005
0,447.0,-18.962000000000003
0,447.0,-15.452699999999995
2,449.0,4.818
2,451.0,-1.9918999999999996
0,451.0,-18.284599999999998
2,453.0,5.664099999999998
1,454.0,-11.101799999999997
2,456.0,3.9924000000000013
1,457.0,-7.080399999999996
0,457.0,-17.8756
2,459.0,6.4694999999999965
0,459.0,-19.9904
2,461.0,4.273900000000002
3,464.0,15.448300000000007
1,465.0,-12.8061
1,466.0,-8.9979
2,468.0,0.5667000000000018
1,469.0,-11.058300000000001
1,470.0,-7.506099999999998
0,470.0,-18.753099999999996
1,471.0,-6.608300000000001
0,471.0,-20.681200000000004
0,471.0,-17.538099999999996
2,473.0,5.010200000000001
1,474.0,-10.502600000000001
3,477.0,12.738800000000001
5,482.0,34.0358
0,482.0,-17.401000000000003
1,483.0,-4.610300000000003
2,485.0,5.383
1,486.0,-11.520799999999998
1,487.0,-11.474699999999999
4,491.0,25.6993
2,493.0,1.5516999999999983
0,493.0,-26.562199999999994
2,495.0,-4.036599999999999
0,495.0,-22.513499999999993
0,495.0,-25.233799999999995
0,495.0,-21.265500000000003
1,496.0,-5.0949
0,496.0,-26.413499999999985
1,497.0,-11.221
0,497.0,-17.765299999999996
2,499.0,6.601800000000001
3,502.0,11.5993
1,503.0,-4.9749
2,505.0,0.9056000000000013
2,507.0,0.001600000000000934
3,510.0,11.3368
0,510.0,-19.579299999999993
2,512.0,1.9997999999999987
2,514.0,3.3917000000000015
1,515.0,-9.773
0,515.0,-20.3611
1,516.0,-7.930799999999999
2,518.0,-2.6829999999999994
2,520.0,2.5831000000000013
3,523.0,12.321700000000002
1,524.0,-6.409600000000001
1,525.0,-4.263499999999996
1,526.0,-10.825899999999997
0,526.0,-21.466299999999997
1,526.0,-10.667300000000004
0,526.0,-22.4988
0,526.0,-15.8991
1,527.0,-7.973400000000002
1,528.0,-5.8912
1,529.0,-25.679000000000002
2,531.0,4.539399999999998
1,532.0,-12.152399999999997
1,533.0,-11.160100000000003
0,533.0,-17.998100000000004
0,533.0,-16.749700000000004
2,535.0,-1.3819000000000001
0,535.0,-23.841400000000004
0,535.0,-23.4075
0,535.0,-16.3812
1,536.0,-6.179699999999998
0,536.0,-21.735200000000006
0,536.0,-17.30089999999999
1,537.0,-6.551100000000002
0,537.0,-20.1977
0,537.0,-23.663799999999988
1,538.0,-10.3447
2,540.0,3.9670999999999985
3,543.0,13.4851
0,543.0,-19.819399999999995
0,543.0,-21.551299999999994
4,547.0,24.934199999999997
2,549.0,4.044699999999999
0,549.0,-22.56809999999999
0,549.0,-17.893900000000002
1,550.0,-9.352300000000001
2,552.0,1.2057000000000029
3,555.0,11.238600000000002
5,560.0,30.9446
2,562.0,2.9132000000000002
1,563.0,-15.345100000000006
4,567.0,23.887399999999996
3,570.0,12.705100000000005
1,571.0,-5.955899999999999
1,572.0,-5.856800000000002
3,574.0,9.121799999999999
0,574.0,-18.376499999999993
1,575.0,-5.350300000000003
1,576.0,-8.346299999999998
0,576.0,-13.625199999999994
2,578.0,1.3844000000000025
2,580.0,-1.7148999999999988
1,581.0,-10.017099999999996
0,581.0,-16.606799999999993
2,583.0,6.993300000000006
0,583.0,-22.8676
3,585.0,10.545700000000002
1,586.0,-6.164600000000001
0,586.0,-18.9709
1,587.0,-14.0423
0,587.0,-20.8424
0,587.0,-13.6933
3,590.0,15.013600000000002
0,590.0,-14.863799999999996
1,591.0,-9.260499999999995
0,591.0,-24.665199999999995
4,595.0,21.432399999999998
1,596.0,-5.386200000000003
2,598.0,-0.1611999999999993
1,599.0,-10.2433
2,601.0,2.779899999999999
1,602.0,-7.607600000000001
0,602.0,-15.849599999999999
0,602.0,-16.0817
1,603.0,-17.3884
2,605.0,2.181099999999999
1,606.0,-8.362799999999996
1,607.0,-16.676499999999997
0,607.0,-18.651499999999995
2,609.0,-1.7999000000000025
1,610.0,-7.713800000000001
1,611.0,-3.6253000000000006
0,611.0,-29.891699999999993
1,612.0,-14.264399999999998
1,613.0,-14.490799999999997
0,613.0,-19.81
1,614.0,-12.185699999999997
0,614.0,-22.885399999999997
5,618.0,33.624399999999994
2,620.0,3.115400000000002
2,622.0,-0.9310000000000078
2,624.0,3.4335999999999975
2,626.0,6.470399999999999
0,626.0,-19.2266
3,629.0,13.648500000000004
1,630.0,-8.308499999999997
2,632.0,1.188500000000002
3,635.0,14.861700000000015
3,638.0,14.228699999999995
1,639.0,-6.8868
1,640.0,-5.447099999999998
0,640.0,-17.218700000000002
3,643.0,10.599200000000003
2,645.0,2.2550000000000026
0,645.0,-19.2985
2,647.0,3.5485999999999973
0,647.0,-20.220099999999995
2,649.0,0.16319999999999735
1,650.0,-10.950499999999998
3,653.0,12.404099999999996
3,656.0,12.711599999999997
2,658.0,2.089400000000001
1,659.0,-6.716699999999998
0,659.0,-16.850400000000004
1,660.0,-8.915200000000002
2,662.0,6.629599999999997
0,662.0,-21.573100000000004
2,664.0,4.4485999999999954
1,665.0,-10.347599999999998
2,667.0,-7.9924
2,669.0,1.4718999999999993
1,670.0,-9.8384
1,671.0,-4.655700000000001
