ShapedRewardPerEpisode,ShapedRewardCumulative,Pysc2RewardPerEpisode,Pysc2RewardCumulative,MeanLossPerEpisode,Epsilon,MergeDummy
197.89473405480385,1613170.998102501,21,171408,1.6901781699524312e+24,0.0,0
207.83631658554077,1613378.8344190866,22,171430,1.8439376905295114e+24,0.0,0
207.17692936956882,1613586.0113484561,22,171452,1.6918352063849274e+24,0.0,0
186.88333128392696,1613772.89467974,20,171472,1.7850626009752581e+24,0.0,0
164.64324644207954,1613937.5379261822,18,171490,1.6647281483141754e+24,0.0,0
208.20858488976955,1614145.746511072,22,171512,1.8719835149353895e+24,0.0,0
197.2828290015459,1614343.0293400735,21,171533,1.706275548230128e+24,0.0,0
208.26313163340092,1614551.2924717069,22,171555,1.8688694739514464e+24,0.0,0
218.68130733072758,1614769.9737790376,23,171578,1.84901140984091e+24,0.0,0
208.51409108936787,1614978.487870127,22,171600,1.5957694631654426e+24,0.0,0
218.73792350292206,1615197.22579363,23,171623,1.7748556427797856e+24,0.0,0
197.26268896460533,1615394.4884825945,21,171644,1.7022671283889863e+24,0.0,0
219.27866606414318,1615613.7671486586,23,171667,1.7799606350869967e+24,0.0,0
207.8091155588627,1615821.5762642175,22,171689,1.8160836834389623e+24,0.0,0
207.5700768828392,1616029.1463411003,22,171711,1.7570153354174993e+24,0.0,0
186.92325304448605,1616216.0695941448,20,171731,1.7797469122630802e+24,0.0,0
208.1327187269926,1616424.2023128718,22,171753,1.8105523984054228e+24,0.0,0
218.93016031384468,1616643.1324731857,23,171776,1.6320504617635393e+24,0.0,0
207.94174361228943,1616851.074216798,22,171798,1.7456494028795208e+24,0.0,0
207.72027471661568,1617058.7944915146,22,171820,1.6749185332630192e+24,0.0,0
186.43056651949883,1617245.225058034,20,171840,1.6647147456016843e+24,0.0,0
208.45771718025208,1617453.6827752143,22,171862,1.6217099087887205e+24,0.0,0
218.1281253248453,1617671.8109005392,23,171885,1.7684240701663364e+24,0.0,0
219.2265802770853,1617891.0374808162,23,171908,1.740033954576145e+24,0.0,0
187.83025696873665,1618078.867737785,20,171928,1.759305902216777e+24,0.0,0
228.79348324239254,1618307.6612210274,24,171952,1.773131304554458e+24,0.0,0
198.01883083581924,1618505.6800518632,21,171973,1.7464926208449526e+24,0.0,0
176.66446289420128,1618682.3445147574,19,171992,1.673905403490846e+24,0.0,0
176.18511117994785,1618858.5296259373,19,172011,1.761196261138768e+24,0.0,0
197.848770275712,1619056.378396213,21,172032,1.848342859483426e+24,0.0,0
208.54038673639297,1619264.9187829494,22,172054,1.7614683506138552e+24,0.0,0
207.49383878707886,1619472.4126217365,22,172076,1.7468967198323173e+24,0.0,0
196.22804310917854,1619668.6406648457,21,172097,1.834124166797486e+24,0.0,0
186.5685455352068,1619855.209210381,20,172117,1.7785066569544994e+24,0.0,0
208.46520945429802,1620063.6744198352,22,172139,1.7972603663788105e+24,0.0,0
