sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch,epsilon
26,26.0,244.83020000000005,1.0
19,44.0,170.96800000000002,1.0
22,66.0,213.28160000000003,1.0
19,85.0,160.9974,1.0
20,104.0,171.5657,1.0
18,121.0,159.984,1.0
19,140.0,171.51829999999998,1.0
22,161.0,202.8242,1.0
21,181.0,192.5613,1.0
20,200.0,182.00979999999998,1.0
17,217.0,160.9337,1.0
19,235.0,171.28010000000003,1.0
20,255.0,181.80260000000004,1.0
20,274.0,192.1519,1.0
19,292.0,181.45370000000003,1.0
21,313.0,202.03340000000003,1.0
19,332.0,182.1651,1.0
19,350.0,171.4877,1.0
23,372.0,223.88250000000002,1.0
20,391.0,191.77280000000005,1.0
18,409.0,160.895,1.0
19,428.0,181.1298,1.0
19,446.0,181.9974,1.0
21,466.0,191.8383,1.0
18,484.0,170.62889999999996,1.0
20,503.0,191.35940000000002,1.0
19,522.0,181.5087,1.0
20,541.0,191.34089999999998,1.0
19,559.0,181.35199999999998,1.0
19,578.0,161.43409999999997,1.0
21,598.0,202.6774,1.0
20,618.0,192.227,1.0
22,640.0,202.56310000000002,1.0
20,660.0,161.04219999999998,1.0
22,682.0,213.38029999999998,1.0
21,703.0,192.5922,1.0
18,721.0,150.2,1.0
20,740.0,181.2244,1.0
21,761.0,192.8465,1.0
21,781.0,192.08819999999994,1.0
23,804.0,213.3002,1.0
18,822.0,160.4081,1.0
21,842.0,191.89209999999997,1.0
22,864.0,203.20969999999997,1.0
19,883.0,181.92579999999998,1.0
18,901.0,171.3054,1.0
20,921.0,191.0284,1.0
18,938.0,170.95979999999997,1.0
20,958.0,191.4359,1.0
18,976.0,150.8619,1.0
21,996.0,202.37929999999997,1.0
19,1015.0,181.315,1.0
19,1033.0,181.28470000000002,1.0
21,1053.0,202.2174,1.0
18,1071.0,171.44790000000003,1.0
19,1089.0,151.24059999999997,1.0
25,1113.0,243.54019999999997,1.0
21,1134.0,202.20940000000002,1.0
20,1154.0,192.13559999999998,1.0
23,1176.0,223.61230000000003,1.0
20,1196.0,181.62619999999998,1.0
17,1213.0,160.3763,1.0
18,1231.0,171.1708,1.0
21,1251.0,203.0339,1.0
21,1272.0,202.3944,1.0
21,1293.0,202.72529999999998,1.0
19,1312.0,161.16519999999997,1.0
23,1334.0,213.24069999999998,1.0
20,1353.0,182.23059999999998,1.0
20,1372.0,181.65809999999993,1.0
19,1390.0,181.7984,1.0
20,1410.0,171.6451,1.0
19,1429.0,181.77299999999997,1.0
21,1450.0,192.5069,1.0
19,1469.0,181.6926,1.0
19,1487.0,151.47370000000004,1.0
21,1507.0,202.7629,1.0
19,1526.0,181.41399999999993,1.0
19,1544.0,160.70790000000002,1.0
19,1563.0,181.33609999999996,1.0
19,1581.0,181.83259999999996,1.0
20,1600.0,161.51080000000002,1.0
24,1623.0,233.88299999999995,1.0
20,1642.0,192.1083,1.0
17,1659.0,140.25910000000002,1.0
20,1679.0,182.02120000000002,1.0
20,1699.0,192.17710000000002,1.0
24,1722.0,233.79649999999998,1.0
21,1742.0,202.5064,1.0
22,1763.0,192.7701,1.0
18,1780.0,170.9871,1.0
21,1801.0,202.1561,1.0
19,1820.0,181.5043,1.0
19,1838.0,170.91910000000001,1.0
20,1858.0,191.7285,1.0
19,1877.0,171.53629999999998,1.0
20,1897.0,192.00139999999996,1.0
20,1916.0,192.4076,1.0
19,1934.0,181.06599999999997,1.0
16,1949.0,149.42230000000004,1.0
20,1969.0,191.15699999999995,1.0
19,1987.0,182.0731,1.0
21,2007.0,192.4913,1.0
19,2026.0,181.16090000000003,1.0
21,2047.0,202.58079999999995,1.0
21,2067.0,202.58169999999996,1.0
19,2085.0,160.69640000000007,1.0
21,2106.0,202.35600000000002,1.0
20,2125.0,181.35920000000002,1.0
19,2143.0,150.88080000000002,1.0
21,2163.0,202.2573,1.0
21,2184.0,202.16750000000002,1.0
21,2204.0,202.61350000000004,1.0
19,2222.0,181.60339999999997,1.0
18,2240.0,170.9232,1.0
