sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch
25,25.0,203.31479999999993
24,49.0,171.84800000000007
22,71.0,188.76790000000005
26,97.0,201.5087
24,120.0,171.20400000000004
23,143.0,180.7061000000001
23,166.0,200.81459999999998
21,187.0,128.286
26,213.0,232.26509999999996
24,237.0,181.56549999999993
28,264.0,244.41649999999996
24,288.0,190.95350000000008
24,311.0,171.01560000000006
23,334.0,158.52009999999999
21,355.0,147.74900000000008
23,378.0,179.73300000000012
23,401.0,200.14840000000004
23,424.0,190.36780000000002
24,448.0,171.6341
3,451.0,-3.2463000000000024
2,453.0,-17.369799999999998
1,454.0,-22.409200000000013
0,454.0,-39.604100000000024
1,455.0,-15.362700000000006
1,456.0,-22.953699999999987
1,457.0,-28.141399999999997
0,457.0,-42.838799999999985
1,458.0,-21.217899999999997
0,458.0,-52.086600000000026
0,458.0,-34.75799999999999
0,458.0,-43.368500000000026
1,459.0,-30.758100000000006
1,460.0,-24.19380000000001
0,460.0,-41.844100000000005
0,460.0,-43.73759999999996
0,460.0,-43.46570000000003
1,461.0,-28.336600000000004
0,461.0,-36.37330000000001
2,463.0,-11.6247
1,464.0,-21.6292
0,464.0,-30.585399999999996
0,464.0,-27.431400000000004
1,465.0,-26.79400000000002
3,468.0,-11.5464
1,469.0,-28.501200000000004
0,469.0,-37.937000000000005
2,471.0,-7.569400000000001
0,471.0,-35.30100000000001
1,472.0,-23.236300000000004
1,473.0,-26.091899999999995
1,474.0,-20.84960000000001
0,474.0,-38.741600000000005
0,474.0,-29.795700000000014
1,475.0,-19.881299999999996
0,475.0,-35.78500000000001
0,475.0,-38.90500000000001
2,477.0,-30.332900000000002
0,477.0,-37.11629999999999
3,480.0,7.756999999999999
2,482.0,-8.049800000000001
1,483.0,-21.148800000000005
1,484.0,-24.44450000000002
1,485.0,-20.373700000000003
3,488.0,-7.463800000000002
0,488.0,-40.23010000000001
1,489.0,-38.197299999999984
1,490.0,-27.176099999999998
0,490.0,-44.64630000000001
1,491.0,-17.6141
0,491.0,-39.812899999999985
1,492.0,-32.04109999999999
1,493.0,-20.358100000000004
1,494.0,-16.666900000000002
0,494.0,-25.249400000000012
0,494.0,-29.024299999999997
0,494.0,-29.00179999999998
1,495.0,-30.983100000000007
0,495.0,-46.2465
0,495.0,-36.85360000000001
0,495.0,-36.385300000000015
3,498.0,-2.1729
0,498.0,-44.08000000000002
1,499.0,-48.32230000000003
0,499.0,-48.323599999999985
1,500.0,-32.75569999999998
1,501.0,-35.511
2,503.0,-8.3188
3,506.0,-9.439400000000001
2,508.0,-11.325200000000002
2,510.0,-15.66170000000001
0,510.0,-47.9717
1,511.0,-22.035899999999994
2,513.0,-25.47019999999999
1,514.0,-33.08429999999999
1,515.0,-17.622000000000003
0,515.0,-45.64370000000004
0,515.0,-46.5551
1,516.0,-44.489799999999995
0,516.0,-26.854500000000005
0,516.0,-43.278800000000004
0,516.0,-45.193199999999976
1,517.0,-14.284699999999996
2,519.0,-12.139600000000007
0,519.0,-42.263600000000004
0,519.0,-53.1221
0,519.0,-31.466199999999994
0,519.0,-44.056799999999996
1,520.0,-44.725
0,520.0,-37.03549999999999
1,521.0,-19.784700000000008
0,521.0,-47.20660000000003
1,522.0,-25.960600000000007
1,523.0,-24.114600000000006
1,524.0,-21.385899999999996
2,526.0,-4.424300000000003
0,526.0,-32.92100000000002
1,527.0,-16.775999999999993
1,528.0,-23.101200000000006
1,529.0,-13.122199999999998
3,532.0,-6.405500000000002
2,534.0,-11.456000000000005
