sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch
23,23.0,191.18120000000002
25,48.0,192.74419999999995
26,74.0,233.8482
21,95.0,157.59909999999994
23,118.0,200.40480000000002
22,140.0,148.97600000000006
22,162.0,189.90110000000004
22,184.0,188.78559999999996
23,207.0,168.75180000000003
22,229.0,178.0602000000001
23,251.0,199.36440000000002
25,275.0,192.70940000000002
25,300.0,221.55549999999994
26,326.0,223.24170000000007
28,353.0,254.97470000000013
24,377.0,200.67639999999997
27,404.0,224.3963
23,427.0,170.30440000000002
27,453.0,213.53740000000005
2,455.0,-14.6775
2,457.0,-10.918800000000001
1,458.0,-24.967
1,459.0,-18.69530000000001
1,460.0,-20.286899999999992
1,461.0,-21.876199999999997
1,462.0,-15.580099999999998
1,463.0,-33.563199999999995
2,465.0,-9.083000000000002
0,465.0,-33.900200000000005
0,465.0,-39.64199999999999
2,467.0,-11.2962
2,469.0,-11.709900000000001
0,469.0,-37.20419999999999
1,470.0,-27.9632
0,470.0,-31.61669999999999
0,470.0,-30.619699999999998
1,471.0,-26.072699999999998
0,471.0,-33.1329
1,472.0,-31.4302
0,472.0,-46.759499999999974
2,474.0,-21.799200000000006
1,475.0,-25.033900000000003
0,475.0,-32.00050000000001
0,475.0,-42.8913
0,475.0,-33.37249999999999
0,475.0,-39.47980000000001
0,475.0,-25.796699999999998
0,475.0,-38.05560000000003
0,475.0,-32.62819999999999
1,476.0,-23.023500000000002
0,476.0,-43.16940000000002
0,476.0,-38.95949999999999
0,476.0,-43.80719999999998
0,476.0,-47.36920000000003
0,476.0,-31.22270000000001
0,476.0,-40.1169
0,476.0,-27.013299999999994
2,478.0,-5.3903000000000025
1,479.0,-20.838100000000008
1,480.0,-24.556200000000004
2,482.0,-22.7206
0,482.0,-44.08400000000001
3,485.0,-1.944899999999996
0,485.0,-31.29329999999999
2,487.0,-15.5631
0,487.0,-34.56900000000001
1,488.0,-22.222099999999998
0,488.0,-45.781200000000005
0,488.0,-37.86159999999999
0,488.0,-39.45900000000002
0,488.0,-35.29919999999999
0,488.0,-32.56029999999999
0,488.0,-24.9694
0,488.0,-38.01630000000001
1,489.0,-21.24330000000001
1,490.0,-16.539199999999994
2,492.0,-6.4761
0,492.0,-30.115299999999998
1,493.0,-18.090699999999995
0,493.0,-46.38289999999995
0,493.0,-44.64069999999999
0,493.0,-47.94880000000003
1,494.0,-13.463999999999997
0,494.0,-29.5145
1,495.0,-17.200100000000006
3,498.0,-19.468300000000006
0,498.0,-32.53660000000001
0,498.0,-31.04139999999999
1,499.0,-17.223499999999998
0,499.0,-30.42520000000001
1,500.0,-39.90499999999998
2,502.0,-7.354399999999998
1,503.0,-29.5145
1,504.0,-25.264500000000005
0,504.0,-43.338899999999995
0,504.0,-44.86920000000003
2,506.0,-6.8136
1,507.0,-21.663899999999998
1,508.0,-25.61309999999999
0,508.0,-39.198200000000014
0,508.0,-36.846699999999984
1,508.0,-30.487299999999998
1,509.0,-24.996999999999996
0,509.0,-41.903900000000014
0,509.0,-32.295700000000004
0,509.0,-38.92109999999998
0,509.0,-32.3586
1,510.0,-27.21389999999999
0,510.0,-29.801100000000012
2,512.0,-20.551900000000003
1,513.0,-34.382900000000014
1,514.0,-31.3831
2,516.0,-11.223599999999994
3,519.0,5.824499999999998
0,519.0,-30.36390000000001
2,521.0,-15.963299999999997
1,522.0,-20.94109999999999
0,522.0,-50.19329999999998
3,525.0,-1.2332999999999976
3,527.0,-17.16559999999998
0,527.0,-44.679099999999984
1,528.0,-25.042399999999997
0,528.0,-33.9967
0,528.0,-39.22979999999998
0,528.0,-46.58749999999997
1,529.0,-23.88950000000001
4,533.0,-0.38450000000000095
2,535.0,-8.14240000000001
2,537.0,-3.925999999999997
0,537.0,-38.97449999999999
0,537.0,-34.979400000000005
3,540.0,-4.842300000000005
1,541.0,-25.721800000000005
1,542.0,-20.33559999999999
2,544.0,-14.582199999999997
0,544.0,-38.68649999999998
2,546.0,-20.345399999999994
1,547.0,-25.394400000000008
0,547.0,-39.9953
0,547.0,-30.510900000000003
1,548.0,-26.3637
0,548.0,-41.94899999999998
0,548.0,-31.0867
1,549.0,-15.857599999999996
0,549.0,-35.3477
0,549.0,-41.50690000000001
0,549.0,-36.82719999999999
1,550.0,-18.465200000000003
0,550.0,-35.3772
1,551.0,-31.029299999999996
2,553.0,-12.5447
0,553.0,-44.577900000000014
1,554.0,-31.94899999999999
1,555.0,-31.484699999999993
1,556.0,-21.972899999999992
0,556.0,-32.74220000000002
0,556.0,-26.974899999999998
1,557.0,-21.056100000000004
0,557.0,-42.8479
0,557.0,-38.38490000000001
1,558.0,-19.2024
0,558.0,-41.5068
0,558.0,-44.779000000000025
3,561.0,-15.5103
1,562.0,-25.121900000000004
1,563.0,-12.708200000000009
1,564.0,-24.2519
1,565.0,-15.9267
1,566.0,-19.598799999999983
1,567.0,-33.76380000000001
1,568.0,-20.521300000000004
1,569.0,-23.53710000000001
1,570.0,-31.56439999999999
1,571.0,-17.6794
1,572.0,-22.548099999999998
0,572.0,-44.85499999999999
1,573.0,-32.9326
0,573.0,-33.41330000000001
0,573.0,-45.29940000000001
0,573.0,-38.292100000000005
1,574.0,-22.746599999999997
0,574.0,-34.827500000000015
0,574.0,-35.473299999999995
1,575.0,-19.795199999999998
2,577.0,-9.862099999999995
1,578.0,-22.843100000000007
0,578.0,-25.8778
1,579.0,-19.098000000000003
1,580.0,-25.323499999999996
1,581.0,-23.798099999999998
1,582.0,-18.635500000000004
0,582.0,-32.36850000000002
0,582.0,-38.107200000000006
2,584.0,-5.5173000000000005
0,584.0,-38.05660000000002
2,586.0,-10.023200000000003
2,588.0,-21.673199999999994
0,588.0,-31.072199999999988
0,588.0,-40.11319999999999
0,588.0,-39.0739
1,589.0,-28.760899999999996
0,589.0,-36.569199999999995
3,591.0,2.158200000000001
1,592.0,-20.447400000000002
0,592.0,-42.543400000000005
2,594.0,-11.883999999999986
1,595.0,-32.29419999999998
0,595.0,-42.6643
1,596.0,-26.371999999999993
1,597.0,-28.864800000000002
0,597.0,-43.454299999999996
1,598.0,-15.2656
2,600.0,-17.584600000000002
1,601.0,-29.2732
1,602.0,-20.15309999999998
0,602.0,-38.7106
2,604.0,-9.687800000000001
0,604.0,-38.61869999999999
1,605.0,-33.5758
1,606.0,-19.776899999999998
0,606.0,-33.012699999999995
2,608.0,-17.393800000000002
2,610.0,-20.784999999999986
1,611.0,-32.0255
2,613.0,-26.41760000000001
1,614.0,-21.9233
2,616.0,-9.4778
0,616.0,-39.27640000000002
0,616.0,-39.363099999999996
0,616.0,-32.81890000000002
2,618.0,-11.370599999999996
1,619.0,-15.136800000000003
0,619.0,-44.16400000000003
1,620.0,-19.16599999999999
2,622.0,-5.282000000000001
0,622.0,-39.7349
5,627.0,11.697799999999996
0,627.0,-55.141799999999996
1,628.0,-22.787700000000005
1,629.0,-10.605499999999996
2,631.0,0.00039999999999607017
0,631.0,-34.85250000000001
0,631.0,-43.28190000000002
6,637.0,31.644799999999993
1,638.0,-39.0141
2,640.0,-7.401300000000003
1,641.0,-19.61590000000001
0,641.0,-37.508599999999994
0,641.0,-28.118000000000006
0,641.0,-34.94269999999999
0,641.0,-34.23
0,641.0,-42.399900000000024
1,642.0,-21.28650000000001
0,642.0,-38.34500000000001
0,642.0,-37.62190000000002
0,642.0,-45.83110000000001
2,644.0,-24.29409999999999
2,646.0,-15.560500000000003
0,646.0,-39.778800000000004
3,649.0,-1.9482999999999968
1,650.0,-32.706799999999994
1,651.0,-11.967199999999997
0,651.0,-29.708100000000005
0,651.0,-25.482499999999998
0,651.0,-39.94549999999999
0,651.0,-36.17050000000001
2,653.0,-6.835199999999995
1,654.0,-18.334800000000005
0,654.0,-44.59020000000002
1,655.0,-25.564500000000006
1,656.0,-26.738200000000006
2,658.0,-10.423899999999996
2,660.0,-14.300099999999999
1,661.0,-25.897800000000004
1,662.0,-28.279799999999987
1,663.0,-25.295800000000003
1,664.0,-23.6835
0,664.0,-29.215000000000007
1,665.0,-22.78569999999999
0,665.0,-29.166399999999992
0,665.0,-37.8991
0,665.0,-24.931799999999992
4,669.0,0.38540000000000724
0,669.0,-34.505799999999994
2,671.0,-2.5192
0,671.0,-31.625899999999966
2,673.0,-12.005899999999999
3,676.0,-26.169099999999993
4,680.0,7.024799999999997
0,680.0,-37.2218
2,682.0,-13.011300000000002
1,683.0,-25.2343
0,683.0,-42.58729999999999
0,683.0,-33.097199999999994
0,683.0,-39.198500000000024
0,683.0,-30.133300000000006
0,683.0,-38.644400000000005
1,684.0,-26.179199999999998
1,685.0,-26.423899999999993
