x,y
73,35
83,35
46,42
55,42
64,28
64,35
46,14
83,49
55,56
9,14
36,49
55,56
0,14
27,0
46,28
73,56
0,28
0,49
55,21
64,14
36,35
36,28
18,42
83,42
46,35
46,14
0,28
73,28
46,63
55,63
73,0
36,49
46,49
83,0
27,49
18,35
27,0
46,42
64,56
36,56
83,7
46,7
18,56
0,28
73,21
36,7
55,35
46,42
46,56
83,21
9,21
9,0
9,21
9,49
0,28
55,14
27,28
0,49
9,35
36,63
9,56
46,56
0,56
46,35
18,21
9,63
55,42
64,7
83,35
55,35
36,28
55,14
0,21
83,0
0,63
18,35
64,56
46,42
46,63
64,7
73,21
0,0
73,63
55,0
36,21
36,49
83,7
46,42
9,49
18,35
0,0
9,14
0,49
83,14
46,49
83,7
83,35
27,28
9,49
0,63
27,35
46,49
64,42
27,42
36,0
18,21
36,0
27,49
36,42
64,14
27,21
83,35
83,49
73,49
27,28
36,42
46,63
0,21
55,28
55,14
64,35
64,28
64,14
64,49
27,56
18,7
0,56
9,28
73,14
36,56
83,0
36,7
46,21
83,21
64,14
36,35
18,35
36,7
64,7
36,21
27,7
83,0
83,7
46,56
46,0
73,7
73,42
18,63
18,56
9,35
0,7
9,42
83,21
46,56
73,28
55,28
9,49
36,63
46,7
46,42
0,63
27,14
18,42
46,63
64,7
9,7
18,14
64,0
55,0
55,35
0,21
64,28
0,7
83,56
83,14
83,63
83,56
46,14
83,56
46,42
18,42
64,14
0,14
9,21
36,21
36,7
18,28
0,7
73,42
36,21
36,56
55,14
73,49
64,63
73,35
46,35
18,35
0,14
0,0
27,0
9,42
36,56
27,7
18,42
46,42
27,21
83,14
83,7
64,63
0,35
46,28
64,49
46,0
83,28
83,28
55,63
46,56
36,7
0,7
64,0
9,63
55,28
9,0
46,42
27,63
83,56
27,63
55,7
55,28
9,63
0,0
64,0
9,56
0,0
83,56
27,63
0,21
73,7
18,56
18,56
36,21
64,0
36,56
55,42
73,21
83,56
83,14
55,7
83,7
46,49
83,49
0,14
83,28
36,35
27,42
55,7
9,14
55,7
27,42
73,14
46,7
83,28
27,42
73,0
36,42
73,7
55,28
0,42
18,42
83,21
0,7
64,56
27,7
18,7
46,21
9,0
55,28
55,56
36,7
36,0
83,35
55,49
73,56
64,0
18,0
55,0
9,56
27,63
83,0
73,28
73,21
36,56
64,28
0,56
73,42
46,56
83,21
55,42
9,42
36,63
83,7
18,28
83,21
64,0
27,21
0,21
0,42
46,0
0,35
46,14
64,56
18,49
27,49
9,63
64,35
46,7
36,28
18,42
64,42
0,63
18,35
18,42
18,28
36,21
73,0
0,42
18,14
27,21
55,28
83,0
46,7
9,14
36,56
64,35
64,14
0,21
64,42
9,49
83,21
46,7
9,21
64,28
55,7
36,7
9,7
55,63
83,35
0,35
73,14
0,56
64,35
36,49
27,49
55,56
0,49
83,35
