pseudo reward per epoch,reward per epoch,cumulative reward
-62.12050000000002,0,0.0
-69.95840000000001,0,0.0
-67.19140000000002,0,0.0
-71.00419999999995,1,1.0
-85.50060000000003,0,1.0
-49.8995,0,1.0
-72.32820000000001,0,1.0
-58.03909999999998,0,1.0
-67.26830000000001,0,1.0
-109.51620000000051,0,1.0
-72.59739999999998,1,2.0
-74.14460000000008,0,2.0
-42.51799999999997,0,2.0
-58.381399999999985,2,4.0
-68.45140000000004,0,4.0
-63.472500000000046,0,4.0
-59.73119999999999,0,4.0
-53.55310000000002,0,4.0
-62.13779999999997,0,4.0
-134.7198999999999,0,4.0
-62.65220000000003,0,4.0
-72.14029999999993,0,4.0
-56.5428,0,4.0
-84.84989999999989,0,4.0
-86.60129999999997,1,5.0
-72.91069999999999,0,5.0
-55.54329999999997,1,6.0
-89.04040000000008,1,7.0
-73.22660000000002,0,7.0
-169.75849999999988,0,7.0
-60.35089999999998,0,7.0
-84.20219999999999,0,7.0
-74.31209999999999,0,7.0
-87.49509999999992,0,7.0
-53.00229999999998,0,7.0
-59.97689999999999,0,7.0
-82.5714000000001,0,7.0
-57.6616,0,7.0
-70.74829999999993,1,8.0
-89.5272999999999,0,8.0
-47.324399999999955,1,9.0
-54.31239999999998,0,9.0
-58.93750000000005,0,9.0
-77.04570000000004,1,10.0
-63.970400000000005,0,10.0
-66.52779999999998,0,10.0
-52.08440000000001,0,10.0
-85.87640000000005,0,10.0
-85.36100000000002,0,10.0
-59.088699999999974,0,10.0
-84.5304,0,10.0
-85.7363999999999,0,10.0
-56.81530000000005,1,11.0
-51.122299999999996,3,14.0
-85.70970000000004,0,14.0
-64.655,2,16.0
-54.56150000000003,0,16.0
-59.80959999999998,0,16.0
-82.79159999999989,1,17.0
-104.03079999999987,0,17.0
-79.21549999999996,0,17.0
-80.92909999999993,0,17.0
-69.92670000000003,0,17.0
-43.228599999999986,0,17.0
-66.38819999999997,0,17.0
-58.97699999999996,0,17.0
-59.38580000000001,2,19.0
-56.41969999999999,1,20.0
-61.41249999999999,1,21.0
-87.19410000000008,0,21.0
-69.54500000000002,0,21.0
-67.02130000000002,1,22.0
-63.840999999999994,0,22.0
-42.4999,1,23.0
-59.30269999999999,0,23.0
-45.24670000000002,2,25.0
-62.531699999999994,1,26.0
-55.40420000000004,0,26.0
-56.568499999999965,0,26.0
