reward per epoch,cumulative reward,pseudo reward per epoch
27,27.0,-162.69679999999974
28,55.0,-162.43529999999967
30,85.0,-109.20190000000007
26,111.0,-189.07559999999967
29,140.0,-118.4676000000002
28,168.0,-149.75030000000055
32,200.0,-64.17959999999987
27,227.0,-155.36010000000002
27,254.0,-189.34849999999992
29,283.0,-146.27880000000042
30,313.0,-126.94990000000007
28,341.0,-154.39479999999975
31,372.0,-94.44590000000018
27,399.0,-188.67999999999964
26,425.0,-210.31100000000004
27,452.0,-187.72879999999986
30,482.0,-110.65810000000018
26,508.0,-188.72999999999985
28,536.0,-163.3582999999995
28,564.0,-161.53189999999879
27,591.0,-182.0989000000001
26,617.0,-206.16090000000003
26,643.0,-218.73710000000003
28,671.0,-138.3787000000001
26,697.0,-213.10689999999988
26,723.0,-201.62650000000014
29,752.0,-127.18970000000024
30,782.0,-107.5316
28,810.0,-138.17909999999995
28,838.0,-147.68329999999935
26,864.0,-191.79170000000067
28,892.0,-142.4962000000001
29,921.0,-140.29409999999987
29,950.0,-126.6041000000002
28,978.0,-158.46460000000047
27,1005.0,-179.04569999999921
31,1036.0,-77.78800000000061
30,1066.0,-124.98759999999994
29,1095.0,-125.85220000000024
29,1124.0,-139.1342000000005
28,1152.0,-155.43720000000056
28,1180.0,-146.21610000000018
28,1208.0,-153.7962000000005
30,1238.0,-111.78410000000046
26,1264.0,-200.74250000000035
28,1292.0,-162.7773999999996
26,1318.0,-177.64850000000015
27,1345.0,-175.9851000000001
30,1375.0,-122.47250000000004
26,1401.0,-203.42579999999978
27,1428.0,-163.38769999999937
29,1457.0,-137.79180000000028
29,1486.0,-122.88240000000017
25,1511.0,-212.0110999999992
27,1538.0,-170.49879999999996
29,1567.0,-124.53080000000001
29,1596.0,-144.69120000000012
27,1623.0,-171.7756999999994
29,1652.0,-132.27259999999987
27,1679.0,-185.2355000000002
27,1706.0,-186.42859999999996
26,1732.0,-204.67899999999943
26,1758.0,-196.5798000000005
28,1786.0,-155.15459999999948
27,1813.0,-158.84310000000002
28,1841.0,-172.85429999999957
28,1869.0,-160.7102999999996
28,1897.0,-163.34130000000036
29,1926.0,-151.94640000000024
29,1955.0,-124.59190000000041
28,1983.0,-166.15539999999964
24,2007.0,-239.42609999999905
30,2037.0,-119.70139999999999
28,2065.0,-164.9084000000001
25,2090.0,-220.06829999999994
27,2117.0,-176.4896
29,2146.0,-127.70009999999994
29,2175.0,-134.70410000000032
28,2203.0,-143.4877
32,2235.0,-76.9805000000003
27,2262.0,-172.4353999999989
29,2291.0,-139.3572000000002
32,2323.0,-74.26539999999997
30,2353.0,-121.31490000000016
29,2382.0,-125.14319999999995
31,2413.0,-95.06290000000035
28,2441.0,-140.75500000000036
27,2468.0,-178.17469999999992
28,2496.0,-150.73459999999966
29,2525.0,-138.8545000000005
30,2555.0,-114.16109999999996
28,2583.0,-137.20250000000007
33,2616.0,-48.191600000000044
26,2642.0,-215.5072000000001
28,2670.0,-149.5304999999997
28,2698.0,-171.91989999999993
29,2727.0,-123.85060000000009
31,2758.0,-94.96830000000028
27,2785.0,-171.6171
0,2785.0,-547.2589000000036
0,2785.0,-480.44139999999993
0,2785.0,-611.1219999999979
0,2785.0,-553.378300000003
0,2785.0,-722.0757999999914
