sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch,epsilon
19,18.0,171.0793,1.0
21,39.0,192.56769999999997,1.0
21,59.0,202.28689999999995,1.0
20,79.0,171.82850000000005,1.0
23,101.0,223.53959999999998,1.0
19,120.0,171.49990000000005,1.0
18,138.0,170.9437,1.0
19,157.0,161.2866,1.0
21,178.0,191.8899,1.0
17,195.0,160.9319,1.0
24,218.0,224.05899999999997,1.0
17,235.0,149.6443,1.0
19,253.0,171.7278,1.0
22,274.0,193.2194,1.0
20,293.0,192.21220000000005,1.0
21,313.0,192.7862,1.0
19,331.0,181.69459999999998,1.0
19,350.0,150.4929,1.0
17,367.0,160.0095,1.0
0,367.0,-13.9179,0.999649068436103
0,367.0,-11.466100000000003,0.9992892807710587
2,369.0,6.156699999999998,0.9989296369923013
3,372.0,17.878100000000007,0.9985701370422877
3,375.0,19.3136,0.998210780863498
1,376.0,-0.25439999999999874,0.9978515683984351
2,378.0,8.854099999999997,0.9974924995896252
0,378.0,-14.423,0.9971335743796169
2,380.0,8.277199999999999,0.9967747927109825
0,380.0,-11.694199999999999,0.9964161545263169
1,381.0,-0.8093999999999996,0.996057659768238
0,381.0,-14.043700000000001,0.9956993083793865
2,383.0,4.827899999999999,0.9953411003024262
2,385.0,7.940200000000002,0.9949830354800439
0,385.0,-14.036099999999998,0.9946251138549492
2,387.0,7.260599999999998,0.9942673353698745
1,388.0,-1.9438999999999997,0.9939096999675756
3,391.0,19.507199999999994,0.9935522075908304
3,394.0,16.570200000000003,0.9931948581824405
2,396.0,-1.7777999999999978,0.9928376516852297
0,396.0,-16.6106,0.9924805880420451
1,397.0,-4.252600000000001,0.9921236671957565
0,397.0,-11.137599999999996,0.9917668890892565
1,398.0,-0.1344000000000008,0.9914102536654608
2,400.0,7.4654000000000025,0.9910537608673073
2,402.0,8.114499999999998,0.9906974106377577
3,405.0,20.2666,0.9903412029197957
1,406.0,-0.6669000000000032,0.9899851376564279
2,408.0,8.348099999999999,0.9896292147906841
2,410.0,5.381499999999997,0.9892734342656166
0,410.0,-16.5509,0.9889177960243005
0,410.0,-15.107199999999999,0.9885623000098336
0,410.0,-13.382100000000001,0.9882069461653367
2,412.0,6.850800000000002,0.9878517344339529
1,413.0,-1.9018000000000024,0.9874966647588486
2,415.0,9.197399999999998,0.9871417370832125
1,416.0,1.2013000000000007,0.9867869513502563
1,416.0,-3.7479000000000013,0.9864323075032142
1,417.0,-2.7844000000000024,0.9860778054853432
1,418.0,-3.254300000000001,0.9857234452399231
1,419.0,-3.2617999999999987,0.9853692267102558
0,419.0,-13.2266,0.9850151498396669
4,423.0,27.468400000000003,0.9846612145715038
0,423.0,-11.447199999999999,0.9843074208491369
0,423.0,-11.0387,0.9839537686159593
0,423.0,-13.595000000000006,0.9836002578153865
0,423.0,-14.776099999999996,0.9832468883908568
1,424.0,-4.0151,0.9828936602858311
3,426.0,17.196900000000003,0.9825405734437931
2,428.0,6.068699999999999,0.9821876278082486
1,429.0,-0.02979999999999844,0.9818348233227265
1,430.0,-0.46610000000000146,0.981482159930778
2,432.0,6.1597,0.9811296375759769
1,433.0,-2.5312000000000032,0.9807772562019197
1,434.0,-0.5792000000000014,0.9804250157522255
1,435.0,-3.0551000000000035,0.9800729161705356
1,436.0,-2.6603999999999983,0.9797209574005141
0,436.0,-11.618400000000001,0.9793691393858478
5,441.0,40.0505,0.9790174620702455
4,445.0,18.7386,0.9786659253974392
1,446.0,-1.2124999999999995,0.9783145293111828
0,446.0,-11.2786,0.9779632737552528
1,446.0,-3.131099999999998,0.9776121586734486
1,447.0,-2.2032999999999996,0.9772611840095917
1,448.0,-3.9026999999999994,0.9769103497075261
2,450.0,6.773400000000004,0.9765596557111184
1,451.0,-3.469099999999999,0.9762091019642573
1,452.0,0.05009999999999981,0.9758586884108544
0,452.0,-13.4081,0.9755084149948436
2,454.0,8.462200000000003,0.975158281660181
2,456.0,8.076200000000002,0.9748082883508454
3,459.0,16.888199999999998,0.9744584350108377
1,460.0,-2.130399999999998,0.9741087215841816
4,464.0,28.2021,0.9737591480149228
2,466.0,7.358399999999999,0.9734097142471295
0,466.0,-13.410100000000003,0.9730604202248924
1,467.0,-3.1693999999999987,0.9727112658923243
5,472.0,26.2437,0.9723622511935607
2,474.0,6.582800000000001,0.9720133760727591
2,476.0,8.932299999999998,0.9716646404740995
0,476.0,-12.865599999999999,0.9713160443417843
1,477.0,0.38069999999999915,0.970967587620038
1,478.0,0.172499999999999,0.9706192702531076
1,479.0,-3.680000000000001,0.9702710921852623
1,480.0,-1.3042000000000005,0.9699230533607935
0,480.0,-15.532199999999998,0.9695751537240154
0,480.0,-19.319100000000002,0.9692273932192634
1,481.0,-2.272399999999995,0.9688797717908963
1,482.0,-2.8238000000000003,0.9685322893832946
1,483.0,-4.3746,0.968184945940861
3,486.0,20.2362,0.9678377414080206
3,489.0,18.720299999999998,0.9674906757292208
2,491.0,7.987100000000002,0.9671437488489308
