sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch,epsilon
21,21.0,202.30569999999997,1.0
19,40.0,182.1078,1.0
20,59.0,181.4178,1.0
20,79.0,191.71249999999998,1.0
19,98.0,161.1968,1.0
20,118.0,161.29,1.0
18,135.0,170.79059999999998,1.0
22,156.0,213.30880000000002,1.0
19,174.0,181.96550000000002,1.0
21,194.0,192.32659999999998,1.0
18,212.0,170.67079999999999,1.0
18,230.0,170.7094,1.0
19,248.0,181.0971,1.0
18,266.0,170.77859999999998,1.0
20,285.0,171.35739999999998,1.0
23,307.0,203.07379999999995,1.0
22,328.0,202.85200000000003,1.0
20,348.0,191.68239999999994,1.0
19,367.0,171.16220000000004,1.0
0,367.0,-16.233299999999996,0.999649068436103
0,367.0,-13.253800000000004,0.9992892807710587
1,368.0,-2.4962999999999984,0.9989296369923013
1,369.0,-1.2849999999999997,0.9985701370422877
1,370.0,-4.501899999999999,0.998210780863498
3,373.0,19.803000000000004,0.9978515683984351
1,374.0,-4.3737,0.9974924995896252
2,376.0,7.4152000000000005,0.9971335743796169
1,377.0,-3.3320999999999987,0.9967747927109825
0,377.0,-10.720699999999999,0.9964161545263169
0,377.0,-17.0779,0.996057659768238
2,379.0,7.0013,0.9956993083793865
1,380.0,-1.2623000000000009,0.9953411003024262
2,381.0,8.1768,0.9949830354800439
3,384.0,18.4657,0.9946251138549492
0,384.0,-11.175700000000003,0.9942673353698745
2,386.0,9.0667,0.9939096999675756
3,389.0,17.8672,0.9935522075908304
1,390.0,-1.6021999999999994,0.9931948581824405
1,391.0,-2.1897,0.9928376516852297
1,392.0,0.4735999999999985,0.9924805880420451
0,392.0,-17.316300000000005,0.9921236671957565
0,392.0,-16.0553,0.9917668890892565
1,393.0,-1.8110999999999997,0.9914102536654608
2,395.0,5.284400000000001,0.9910537608673073
1,396.0,-3.4254,0.9906974106377577
2,398.0,-1.4334000000000011,0.9903412029197957
2,400.0,7.911199999999996,0.9899851376564279
0,400.0,-15.262199999999998,0.9896292147906841
0,400.0,-15.5076,0.9892734342656166
2,402.0,7.942999999999998,0.9889177960243005
3,405.0,20.816299999999995,0.9885623000098336
0,405.0,-12.576699999999999,0.9882069461653367
1,406.0,-3.552799999999999,0.9878517344339529
2,408.0,-3.265599999999999,0.9874966647588486
1,409.0,-1.812099999999999,0.9871417370832125
0,409.0,-13.070799999999995,0.9867869513502563
0,409.0,-15.609699999999998,0.9864323075032142
0,409.0,-13.8936,0.9860778054853432
0,409.0,-14.2273,0.9857234452399231
0,409.0,-16.416,0.9853692267102558
2,411.0,8.574699999999998,0.9850151498396669
0,411.0,-14.524300000000002,0.9846612145715038
3,414.0,17.580200000000005,0.9843074208491369
2,416.0,9.9701,0.9839537686159593
1,417.0,-1.6606000000000023,0.9836002578153865
2,419.0,6.2424,0.9832468883908568
1,420.0,-0.3108000000000016,0.9828936602858311
0,420.0,-16.217799999999997,0.9825405734437931
0,420.0,-15.688899999999993,0.9821876278082486
0,420.0,-16.677500000000002,0.9818348233227265
1,421.0,-16.3602,0.981482159930778
0,421.0,-14.961499999999997,0.9811296375759769
3,424.0,17.571,0.9807772562019197
0,424.0,-19.2668,0.9804250157522255
0,424.0,-15.354100000000003,0.9800729161705356
2,426.0,4.081299999999995,0.9797209574005141
1,427.0,-0.4050999999999998,0.9793691393858478
0,427.0,-15.499299999999993,0.9790174620702455
4,430.0,32.6164,0.9786659253974392
0,430.0,-17.064,0.9783145293111828
2,432.0,7.373499999999994,0.9779632737552528
0,432.0,-13.440299999999999,0.9776121586734486
1,433.0,-4.169099999999999,0.9772611840095917
1,434.0,-4.588400000000001,0.9769103497075261
0,434.0,-13.130799999999995,0.9765596557111184
0,434.0,-16.2219,0.9762091019642573
1,435.0,0.12820000000000004,0.9758586884108544
0,435.0,-16.049400000000002,0.9755084149948436
2,437.0,5.425100000000003,0.975158281660181
0,437.0,-15.5006,0.9748082883508454
0,437.0,-16.526799999999994,0.9744584350108377
2,439.0,7.774599999999999,0.9741087215841816
2,441.0,8.653899999999997,0.9737591480149228
0,441.0,-15.417799999999998,0.9734097142471295
2,443.0,6.186300000000001,0.9730604202248924
0,443.0,-10.435300000000002,0.9727112658923243
0,443.0,-12.124800000000006,0.9723622511935607
1,444.0,-4.421200000000002,0.9720133760727591
1,445.0,-0.37480000000000036,0.9716646404740995
0,445.0,-13.880099999999997,0.9713160443417843
2,447.0,7.654900000000001,0.970967587620038
0,447.0,-13.5401,0.9706192702531076
0,447.0,-15.2734,0.9702710921852623
1,448.0,-0.7622000000000007,0.9699230533607935
0,448.0,-17.269799999999993,0.9695751537240154
1,449.0,-5.921899999999997,0.9692273932192634
5,454.0,41.163499999999985,0.9688797717908963
0,454.0,-15.533599999999998,0.9685322893832946
0,454.0,-10.3694,0.968184945940861
0,454.0,-15.765100000000002,0.9678377414080206
1,455.0,-3.1853999999999965,0.9674906757292208
1,456.0,-4.543199999999998,0.9671437488489308
1,457.0,-1.595899999999999,0.9667969607116426
1,458.0,-1.5110999999999983,0.9664503112618698
1,459.0,-2.672499999999999,0.9661038004441487
2,461.0,8.6617,0.9657574282030376
1,462.0,0.2193999999999992,0.9654111944831169
1,463.0,-4.939200000000001,0.965065099228989
0,463.0,-16.246100000000002,0.9647191423852789
1,464.0,-4.525300000000003,0.9643733238966334
0,464.0,-16.1616,0.9640276437077216
2,466.0,5.872900000000001,0.9636821017632348
2,468.0,7.6865999999999985,0.9633366980078858
4,472.0,26.993699999999997,0.9629914323864105
0,472.0,-16.2847,0.9626463048435663
1,473.0,-2.383800000000001,0.9623013153241325
2,475.0,7.3652,0.9619564637729111
3,478.0,17.89699999999999,0.9616117501347259
