x,y
52,3
56,19
4,36
26,26
0,26
56,59
83,16
74,6
65,49
43,19
30,63
43,43
0,3
26,63
21,0
39,16
26,63
74,9
13,53
61,53
56,19
34,43
65,0
61,59
30,39
4,29
13,3
13,33
30,13
61,26
43,46
17,49
52,0
26,43
4,13
17,29
48,39
4,26
21,9
78,59
13,59
39,3
17,36
17,59
8,3
65,26
21,46
26,46
26,13
26,19
0,43
34,59
78,6
4,3
30,23
61,23
48,19
43,56
34,33
0,39
56,0
21,46
43,59
78,56
13,9
8,39
43,53
74,63
0,0
43,29
26,39
17,43
17,3
21,63
21,19
65,63
65,0
34,0
13,16
0,16
74,46
26,0
78,16
78,49
26,33
26,26
65,56
83,26
48,23
83,9
4,3
56,36
78,16
61,63
74,49
17,29
34,9
39,13
39,19
69,6
83,43
34,39
83,63
34,43
52,46
26,13
61,43
83,29
56,36
48,59
52,19
48,49
43,0
74,3
74,29
83,6
48,43
61,56
26,36
26,59
56,49
69,13
13,59
21,63
30,63
4,53
30,9
69,56
43,53
83,29
39,26
17,39
17,36
30,23
61,49
69,3
69,56
61,56
17,0
4,26
43,59
0,29
17,19
17,56
0,59
74,26
69,0
83,23
0,63
34,56
21,36
56,53
13,49
0,29
43,43
4,63
48,9
56,43
21,33
30,53
74,53
26,46
13,36
0,26
17,29
30,3
52,19
56,36
21,49
65,53
34,46
21,59
21,33
0,19
0,19
4,23
69,13
56,33
30,43
13,13
74,16
8,9
4,33
21,36
30,53
8,53
48,3
74,29
39,23
34,0
83,39
69,36
69,3
21,9
69,33
74,26
83,36
52,23
0,33
48,0
43,26
30,16
56,26
4,33
61,63
43,6
78,0
83,19
4,29
4,6
69,59
8,56
83,33
78,56
74,63
13,0
52,16
69,49
8,16
26,49
74,63
69,46
0,16
65,13
0,29
61,36
13,43
34,23
0,46
48,3
8,16
74,36
52,63
61,19
17,6
48,59
65,49
69,39
56,9
30,46
34,13
4,59
61,3
78,6
83,13
26,33
21,3
83,26
43,13
43,13
74,9
52,49
43,3
4,49
30,33
65,0
26,16
43,29
83,23
17,59
48,33
65,36
61,23
0,9
8,46
34,3
39,63
52,39
83,9
4,36
8,46
65,19
34,16
78,43
21,16
83,33
13,43
30,0
56,56
30,29
56,33
43,63
26,43
48,33
8,0
30,19
26,36
4,9
43,6
83,43
34,23
74,46
30,36
48,16
39,46
56,23
78,3
26,6
30,46
39,6
17,26
52,33
4,23
0,36
56,0
17,49
30,16
0,0
39,19
56,26
83,3
0,53
65,9
8,56
21,33
56,33
34,43
65,19
74,0
26,13
65,33
26,49
39,0
52,26
34,6
34,49
78,9
0,6
52,13
8,19
4,33
39,33
13,46
30,36
56,33
78,46
78,59
43,49
52,36
0,19
61,36
30,13
0,29
61,13
43,33
56,43
13,13
69,9
26,13
21,3
78,16
26,53
83,9
69,6
56,39
83,9
17,9
56,29
56,19
30,59
26,39
83,39
13,16
83,46
78,3
69,29
34,49
78,29
48,36
21,46
74,49
13,0
56,36
39,43
48,6
52,56
13,33
21,33
26,0
4,9
17,3
56,29
48,36
74,26
52,36
34,49
8,0
34,3
4,63
43,53
26,46
26,13
8,56
34,23
39,26
8,53
52,49
4,53
30,19
61,63
74,49
78,43
83,59
4,23
69,33
69,13
74,46
17,0
13,3
21,26
52,6
83,59
74,43
43,26
21,43
61,33
4,39
0,9
17,49
13,56
78,39
69,6
21,26
83,56
56,13
43,56
21,36
21,36
61,56
69,19
0,46
13,16
17,9
0,36
83,43
8,46
39,13
48,3
69,29
78,43
0,0
78,29
65,49
17,59
13,26
43,36
61,9
48,59
8,23
34,16
78,49
52,36
30,53
17,19
17,63
61,46
78,16
69,43
78,29
61,59
83,23
43,49
69,3
17,59
65,0
21,53
13,19
4,39
17,46
61,39
34,23
78,46
43,39
83,6
8,16
74,46
83,19
34,36
52,43
8,49
8,26
48,26
4,59
48,59
65,59
78,3
0,59
26,16
39,36
8,46
69,26
21,39
65,23
4,49
34,36
4,56
26,59
21,53
65,6
65,39
21,43
65,56
0,43
13,39
17,29
74,0
13,6
13,53
4,23
4,59
52,63
61,23
78,43
21,9
13,16
43,3
43,39
8,33
52,16
83,39
13,63
0,59
4,46
78,33
61,53
17,63
8,0
78,19
30,53
83,16
43,49
17,6
0,56
74,3
52,46
83,13
69,23
52,29
56,26
13,63
43,9
39,9
48,33
34,43
83,23
21,13
13,0
21,59
34,43
4,46
8,26
26,9
69,63
4,53
56,13
43,9
21,0
