pseudo reward per epoch,reward per epoch,cumulative reward
-43.47750000000002,1,1.0
-44.03259999999998,0,1.0
-85.81889999999991,0,1.0
-76.65529999999997,0,1.0
-83.5493,0,1.0
-74.71149999999994,0,1.0
-63.98730000000004,0,1.0
-81.13009999999998,0,1.0
-59.52639999999998,1,2.0
-88.72679999999994,0,2.0
-63.83060000000001,0,2.0
-47.57430000000003,0,2.0
-46.098699999999994,0,2.0
-52.998899999999985,0,2.0
-76.12069999999999,0,2.0
-44.726799999999976,2,4.0
-64.57000000000002,0,4.0
-58.0112,0,4.0
-82.53630000000004,0,4.0
-72.04470000000002,0,4.0
-77.69149999999995,0,4.0
-76.00030000000008,0,4.0
-51.903700000000015,0,4.0
-66.5968,0,4.0
-81.90050000000001,0,4.0
-68.74440000000004,0,4.0
-50.6211,1,5.0
-49.409900000000015,0,5.0
-69.56159999999998,0,5.0
-70.23000000000002,0,5.0
-73.79820000000004,0,5.0
-57.70239999999997,1,6.0
-85.48180000000006,0,6.0
-59.40850000000004,1,7.0
-68.79289999999996,1,8.0
-55.78919999999999,0,8.0
-75.48140000000008,0,8.0
-70.4147,0,8.0
-84.84940000000002,0,8.0
-79.4767999999999,0,8.0
-50.53939999999997,0,8.0
-92.89820000000005,0,8.0
-91.27749999999997,0,8.0
-53.50080000000003,0,8.0
-90.23819999999994,0,8.0
-57.280700000000024,2,10.0
-76.76560000000002,0,10.0
-63.73779999999994,0,10.0
-58.1177,0,10.0
-81.49730000000012,1,11.0
-71.49750000000002,0,11.0
-59.8986,1,12.0
-66.44250000000002,0,12.0
-81.28830000000005,0,12.0
-76.96649999999994,0,12.0
-67.94130000000001,0,12.0
-75.5248,1,13.0
-61.63059999999997,1,14.0
-49.5893,0,14.0
-81.8681999999999,0,14.0
-55.70870000000001,0,14.0
-48.23089999999999,0,14.0
-63.95499999999998,2,16.0
-70.02090000000001,0,16.0
-92.75379999999996,0,16.0
-50.36149999999998,1,17.0
-69.57319999999999,0,17.0
-91.6028,0,17.0
-46.33220000000003,0,17.0
-83.22989999999996,0,17.0
-69.63470000000002,0,17.0
-95.29009999999997,0,17.0
-73.41329999999998,0,17.0
-57.41729999999999,0,17.0
-85.90620000000007,0,17.0
-64.32579999999997,0,17.0
-72.9987,1,18.0
-62.770599999999966,1,19.0
-64.54450000000001,2,21.0
-53.889,1,22.0
-61.1524,0,22.0
-67.72170000000001,1,23.0
-62.4367,2,25.0
-71.21600000000001,0,25.0
-54.874699999999955,0,25.0
-58.8191,1,26.0
-57.81009999999997,0,26.0
-50.502799999999986,2,28.0
-72.73120000000003,0,28.0
-49.86039999999999,1,29.0
-78.1095,0,29.0
-81.01580000000007,0,29.0
-63.18850000000002,0,29.0
-51.8402,1,30.0
-57.88520000000001,0,30.0
-73.19740000000006,2,32.0
-71.58860000000003,2,34.0
-58.55059999999998,0,34.0
-56.70869999999999,0,34.0
-59.42639999999995,0,34.0
-41.14099999999998,0,34.0
-57.291699999999956,1,35.0
-60.38789999999998,1,36.0
-49.211400000000026,1,37.0
-74.17749999999997,0,37.0
-50.08939999999998,2,39.0
-65.64680000000001,0,39.0
-49.6956999999999,1,40.0
-66.9724,0,40.0
-86.12139999999995,1,41.0
-47.29620000000001,1,42.0
-64.74430000000001,1,43.0
-47.02539999999997,0,43.0
-45.294200000000025,0,43.0
-71.81079999999997,0,43.0
-70.143,3,46.0
-74.29629999999999,1,47.0
-48.04799999999998,1,48.0
-93.00870000000003,0,48.0
-83.61659999999996,0,48.0
-73.572,2,50.0
-76.9478,0,50.0
-80.61900000000003,0,50.0
-66.75750000000006,0,50.0
-102.99159999999998,0,50.0
-55.120999999999995,5,55.0
-61.877100000000006,1,56.0
-63.899600000000035,0,56.0
-87.61460000000005,0,56.0
-60.96650000000001,0,56.0
-76.48950000000008,2,58.0
-107.41220000000003,0,58.0
-64.4581,1,59.0
-55.38209999999997,0,59.0
-92.42879999999995,1,60.0
-74.07260000000007,0,60.0
-52.4639,4,64.0
-87.91480000000004,0,64.0
-61.96210000000003,1,65.0
-62.11680000000005,0,65.0
-73.40999999999993,1,66.0
-68.48409999999998,2,68.0
-114.91139999999993,0,68.0
-91.64660000000003,1,69.0
-48.0771,1,70.0
-70.72399999999995,2,72.0
-61.66140000000004,0,72.0
-69.45839999999987,0,72.0
-108.98080000000004,1,73.0
-70.71199999999997,0,73.0
-72.00240000000004,0,73.0
-92.32110000000006,0,73.0
-67.23599999999998,3,76.0
-121.31430000000017,0,76.0
-53.66779999999997,3,79.0
-58.66489999999997,1,80.0
-61.521599999999985,0,80.0
-61.581200000000024,1,81.0
-62.92709999999999,0,81.0
-85.7516,1,82.0
-50.27129999999997,0,82.0
-64.07350000000002,0,82.0
-55.85870000000002,1,83.0
-43.17329999999995,2,85.0
-51.376000000000026,0,85.0
-46.5464,2,87.0
-68.723,0,87.0
-47.20380000000001,2,89.0
-71.66499999999998,0,89.0
-82.9339,2,91.0
-56.40479999999996,0,91.0
-67.58630000000002,1,92.0
-38.21580000000002,0,92.0
-88.84190000000001,1,93.0
-70.20939999999999,0,93.0
-81.24529999999997,1,94.0
-93.25799999999984,0,94.0
-75.71799999999996,0,94.0
-80.77229999999996,1,95.0
-96.26140000000001,1,96.0
-64.03930000000004,1,97.0
-43.85609999999999,2,99.0
-66.26650000000004,1,100.0
-77.23739999999995,1,101.0
-41.70409999999998,1,102.0
-116.05329999999998,0,102.0
-63.328499999999984,1,103.0
-59.09400000000005,3,106.0
-52.37389999999996,0,106.0
-50.867699999999985,0,106.0
-73.94159999999998,1,107.0
-95.17000000000003,0,107.0
-109.06659999999997,0,107.0
-113.43179999999995,0,107.0
-77.38119999999999,0,107.0
-78.46550000000005,0,107.0
-57.888400000000004,1,108.0
-59.73190000000006,0,108.0
-68.73920000000001,1,109.0
-43.655799999999985,1,110.0
-52.71659999999998,0,110.0
-48.15150000000002,0,110.0
-95.48120000000006,0,110.0
-57.734500000000025,0,110.0
-67.54769999999999,0,110.0
-55.14519999999997,0,110.0
-92.09849999999996,1,111.0
-81.78319999999995,0,111.0
-77.21160000000002,0,111.0
-61.45160000000003,0,111.0
-49.6727,0,111.0
-68.38719999999996,2,113.0
-48.757700000000014,1,114.0
-42.93400000000003,0,114.0
-100.84200000000004,0,114.0
-60.96989999999991,0,114.0
-94.0375,0,114.0
-133.34299999999993,0,114.0
-52.467999999999975,2,116.0
-86.95119999999994,0,116.0
-45.15340000000001,2,118.0
-74.85429999999997,0,118.0
-74.49210000000001,0,118.0
-61.0479,1,119.0
-52.975900000000024,0,119.0
-72.50420000000005,1,120.0
-62.255500000000026,1,121.0
-65.78989999999997,0,121.0
-104.85499999999995,1,122.0
-46.190800000000024,0,122.0
-83.4658,2,124.0
-53.96810000000003,1,125.0
-60.77499999999998,0,125.0
-49.87370000000003,0,125.0
-65.38880000000002,0,125.0
-107.19610000000002,0,125.0
-60.41429999999998,0,125.0
-58.446600000000004,0,125.0
-80.15930000000004,1,126.0
-66.22890000000001,0,126.0
-61.3737999999999,2,128.0
-77.3164,1,129.0
-96.70710000000005,1,130.0
-66.67399999999995,0,130.0
-53.51040000000006,1,131.0
-123.18559999999985,0,131.0
-99.51979999999999,0,131.0
-55.18459999999998,1,132.0
-42.49789999999998,3,135.0
-79.36060000000005,0,135.0
-71.44299999999993,0,135.0
-51.23930000000003,0,135.0
-86.54400000000007,2,137.0
-53.990800000000014,1,138.0
-51.016000000000005,3,141.0
-75.00830000000002,3,144.0
-63.35560000000001,2,146.0
-45.68730000000002,1,147.0
-86.17660000000014,1,148.0
-57.07930000000002,1,149.0
-66.9339,1,150.0
-56.62500000000007,0,150.0
-67.2913,0,150.0
-46.3456,0,150.0
-108.08959999999999,0,150.0
-78.46419999999999,0,150.0
-75.2506000000001,2,152.0
-61.076199999999986,0,152.0
-106.93849999999999,2,154.0
-74.64820000000006,0,154.0
-100.6597999999998,0,154.0
-104.46209999999998,1,155.0
-53.96740000000006,0,155.0
-74.89590000000008,0,155.0
-98.9007999999999,1,156.0
-83.57110000000002,1,157.0
-88.61630000000002,0,157.0
-56.36929999999996,0,157.0
-62.78140000000001,1,158.0
-55.25839999999998,0,158.0
