pseudo reward per epoch,reward per epoch,cumulative reward
-62.2983,0,0.0
-53.18750000000001,1,1.0
-89.94839999999992,0,1.0
-51.82540000000002,0,1.0
-56.80860000000004,0,1.0
-61.189499999999995,1,2.0
-62.4063,1,3.0
-51.82939999999999,1,4.0
-52.67880000000001,0,4.0
-41.80900000000025,0,4.0
-74.09999999999997,0,4.0
-52.73879999999999,0,4.0
-67.56129999999996,0,4.0
-79.2804999999999,0,4.0
-61.4542,0,4.0
-81.81990000000002,0,4.0
-100.8551,0,4.0
-84.70770000000003,0,4.0
-67.35950000000003,0,4.0
-85.10380000000038,1,5.0
-55.56939999999995,0,5.0
-73.20639999999997,0,5.0
-51.684100000000015,0,5.0
-66.66889999999998,0,5.0
-59.312699999999985,0,5.0
-97.89279999999995,0,5.0
-83.06010000000003,0,5.0
-67.0478,0,5.0
-60.55679999999999,0,5.0
-84.58440000000003,0,5.0
-54.08460000000004,0,5.0
-51.26249999999998,0,5.0
-43.9995,0,5.0
-50.367899999999985,0,5.0
-67.42779999999998,1,6.0
-71.63220000000003,0,6.0
-79.62269999999994,0,6.0
-68.60130000000001,1,7.0
-81.81720000000001,0,7.0
-38.817799999999984,1,8.0
-76.28959999999998,0,8.0
-93.14479999999999,0,8.0
-64.2198,2,10.0
-64.01019999999998,1,11.0
-68.53480000000005,0,11.0
-56.44649999999995,0,11.0
-76.03769999999992,0,11.0
-93.8217,1,12.0
-58.76429999999996,0,12.0
-111.76919999999944,0,12.0
-60.341999999999985,0,12.0
-48.4201,1,13.0
-85.85899999999997,0,13.0
-65.8881,1,14.0
-46.37569999999998,1,15.0
-51.560500000000005,1,16.0
-67.52070000000002,0,16.0
-72.32470000000002,0,16.0
-73.8932,0,16.0
-25.19699999999987,0,16.0
-96.87019999999994,0,16.0
-54.48739999999995,0,16.0
-53.22580000000002,1,17.0
-79.59459999999994,0,17.0
-47.63429999999995,1,18.0
-66.08930000000004,0,18.0
-70.41550000000001,0,18.0
-69.98809999999996,2,20.0
-70.0916,1,21.0
-83.82389999999988,0,21.0
-71.52299999999995,0,21.0
-54.53480000000002,0,21.0
-84.39619999999991,1,22.0
-65.89740000000003,0,22.0
-56.089300000000044,0,22.0
-65.86180000000004,0,22.0
-68.97909999999999,2,24.0
-80.51550000000003,0,24.0
-84.84849999999999,0,24.0
-127.51980000000032,0,24.0
-77.11940000000001,0,24.0
-89.04830000000004,0,24.0
-53.2002,2,26.0
-45.666399999999975,3,29.0
-57.985499999999995,2,31.0
-82.97549999999995,0,31.0
-68.94429999999998,0,31.0
-73.23479999999999,1,32.0
-73.27309999999999,1,33.0
-155.0940999999993,0,33.0
-77.89359999999998,0,33.0
-66.82339999999999,2,35.0
-79.01110000000006,0,35.0
-109.16219999999993,0,35.0
-79.03409999999998,3,38.0
-61.41689999999997,1,39.0
-72.10899999999998,0,39.0
-71.72279999999999,1,40.0
-77.56470000000002,1,41.0
-94.33879999999958,0,41.0
-60.712199999999946,0,41.0
-85.02509999999997,0,41.0
-65.5017,1,42.0
-37.233100000000015,0,42.0
-74.03919999999998,0,42.0
-51.357699999999994,2,44.0
-80.98440000000004,2,46.0
-84.57399999999996,0,46.0
-107.56389999999999,0,46.0
-32.34959999999994,0,46.0
-93.88620000000006,0,46.0
-90.288,1,47.0
-52.88669999999997,1,48.0
-55.12719999999993,3,51.0
-52.54,1,52.0
-69.03769999999996,1,53.0
-54.66249999999999,1,54.0
-43.685000000000024,0,54.0
-55.73889999999997,3,57.0
-38.735500000000016,0,57.0
-63.85340000000002,2,59.0
-78.93029999999999,0,59.0
