sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch,epsilon
20,20.0,191.87860000000003,1.0
21,40.0,201.9329,1.0
20,59.0,192.33579999999998,1.0
18,77.0,171.0376,1.0
20,97.0,191.95890000000006,1.0
17,114.0,160.37750000000003,1.0
20,133.0,181.3485,1.0
19,152.0,181.68660000000003,1.0
17,169.0,160.40600000000003,1.0
20,189.0,191.74809999999997,1.0
19,208.0,182.18660000000006,1.0
22,229.0,203.1932,1.0
21,249.0,202.7465,1.0
20,268.0,182.016,1.0
21,289.0,202.09,1.0
22,310.0,213.26959999999997,1.0
18,328.0,161.29380000000003,1.0
19,347.0,160.43359999999998,1.0
18,365.0,160.538,1.0
18,383.0,161.432,1.0
20,402.0,192.5906,1.0
21,422.0,182.58440000000004,1.0
20,441.0,161.8358,1.0
19,460.0,170.95060000000004,1.0
21,480.0,202.6122,1.0
21,501.0,192.5841,1.0
19,519.0,181.46450000000002,1.0
23,541.0,212.94540000000003,1.0
21,561.0,202.99599999999998,1.0
20,581.0,182.14749999999998,1.0
21,602.0,162.1948,1.0
22,624.0,203.32559999999998,1.0
18,642.0,161.01940000000002,1.0
19,660.0,181.06939999999997,1.0
18,678.0,170.8877,1.0
21,698.0,192.5985,1.0
20,718.0,191.8109,1.0
20,737.0,171.30429999999996,1.0
20,757.0,192.10170000000002,1.0
21,777.0,201.7966,1.0
18,795.0,170.82490000000004,1.0
23,817.0,223.69359999999998,1.0
20,837.0,192.03320000000002,1.0
19,856.0,180.9184,1.0
17,872.0,160.00060000000005,1.0
18,890.0,170.76649999999998,1.0
16,906.0,139.7901,1.0
24,929.0,223.471,1.0
19,947.0,181.846,1.0
20,966.0,181.5858,1.0
19,984.0,181.47850000000003,1.0
20,1004.0,181.99390000000002,1.0
20,1023.0,192.02670000000006,1.0
18,1040.0,140.7851,1.0
21,1060.0,202.2621,1.0
20,1080.0,181.52760000000006,1.0
20,1100.0,172.00549999999998,1.0
19,1119.0,171.39669999999998,1.0
22,1141.0,202.928,1.0
19,1160.0,181.6213,1.0
21,1181.0,202.2963,1.0
19,1200.0,171.70839999999998,1.0
18,1218.0,170.9774,1.0
20,1238.0,181.80729999999997,1.0
21,1258.0,202.36770000000004,1.0
19,1277.0,181.09480000000002,1.0
20,1296.0,192.3013,1.0
20,1316.0,172.26900000000006,1.0
20,1336.0,192.56889999999996,1.0
20,1355.0,171.647,1.0
18,1373.0,170.8115,1.0
20,1393.0,181.9189,1.0
19,1411.0,181.7461,1.0
18,1428.0,140.35670000000002,1.0
20,1448.0,171.379,1.0
19,1466.0,180.8304,1.0
18,1484.0,170.796,1.0
19,1503.0,170.81250000000006,1.0
16,1518.0,149.9597,1.0
20,1537.0,191.22830000000002,1.0
22,1559.0,212.70270000000002,1.0
16,1574.0,139.3666,1.0
20,1594.0,191.77220000000003,1.0
18,1611.0,170.70290000000006,1.0
23,1633.0,223.2845,1.0
22,1655.0,212.7154,1.0
20,1674.0,191.837,1.0
21,1695.0,182.05300000000003,1.0
22,1717.0,212.5594,1.0
19,1736.0,171.07459999999998,1.0
20,1755.0,182.0653,1.0
17,1772.0,160.1838,1.0
20,1792.0,182.29279999999997,1.0
18,1810.0,171.1128,1.0
21,1830.0,202.2178,1.0
20,1849.0,191.75450000000006,1.0
18,1866.0,171.40320000000003,1.0
19,1885.0,181.5138,1.0
20,1904.0,192.44699999999997,1.0
18,1922.0,160.2543,1.0
18,1940.0,171.4956,1.0
19,1959.0,171.62040000000002,1.0
18,1977.0,170.502,1.0
20,1997.0,192.18249999999995,1.0
21,2017.0,202.08269999999996,1.0
20,2036.0,192.44919999999996,1.0
17,2052.0,160.64520000000002,1.0
19,2071.0,171.53959999999998,1.0
18,2088.0,161.0535,1.0
20,2107.0,181.038,1.0
22,2128.0,202.76760000000002,1.0
20,2148.0,181.34520000000003,1.0
21,2169.0,192.2461,1.0
20,2189.0,192.0598,1.0
20,2208.0,192.26929999999996,1.0
20,2227.0,191.89769999999996,1.0
19,2246.0,182.4653,1.0
20,2265.0,171.76090000000005,1.0
20,2284.0,171.60849999999996,1.0
23,2306.0,223.9687,1.0
17,2322.0,150.454,1.0
21,2342.0,182.1204,1.0
21,2362.0,192.26539999999997,1.0
22,2384.0,202.6861,1.0
20,2404.0,171.4918,1.0
20,2424.0,192.0573,1.0
20,2443.0,171.78979999999996,1.0
20,2463.0,192.2301,1.0
17,2480.0,160.76100000000002,1.0
21,2500.0,192.24339999999998,1.0
21,2520.0,182.26509999999996,1.0
20,2539.0,181.9657,1.0
19,2558.0,171.06500000000003,1.0
23,2580.0,223.54710000000003,1.0
21,2600.0,202.81889999999999,1.0
20,2619.0,181.10639999999998,1.0
19,2637.0,171.06510000000003,1.0
20,2657.0,192.42130000000003,1.0
23,2679.0,223.52769999999998,1.0
21,2699.0,202.65019999999998,1.0
19,2717.0,171.35239999999996,1.0
21,2737.0,192.3481,1.0
22,2758.0,192.60389999999998,1.0
20,2777.0,192.06279999999998,1.0
20,2796.0,181.7853,1.0
18,2813.0,170.83709999999996,1.0
21,2834.0,192.7183,1.0
19,2853.0,181.341,1.0
17,2869.0,160.58570000000003,1.0
22,2891.0,213.41119999999995,1.0
20,2910.0,191.8737,1.0
17,2927.0,150.15940000000006,1.0
18,2944.0,160.30870000000002,1.0
18,2961.0,170.71459999999996,1.0
18,2979.0,160.6017,1.0
18,2996.0,171.06939999999997,1.0
19,3014.0,172.08290000000005,1.0
22,3036.0,213.08499999999998,1.0
19,3054.0,171.85760000000002,1.0
19,3072.0,181.31230000000002,1.0
18,3090.0,160.63909999999998,1.0
18,3108.0,150.57829999999996,1.0
19,3126.0,180.92320000000004,1.0
21,3147.0,202.14800000000002,1.0
19,3165.0,160.6991,1.0
18,3183.0,170.24649999999997,1.0
20,3202.0,192.1218,1.0
18,3220.0,171.17209999999997,1.0
19,3239.0,170.78109999999995,1.0
22,3260.0,193.09019999999998,1.0
21,3281.0,202.199,1.0
20,3301.0,182.1321,1.0
19,3319.0,151.2867,1.0
20,3339.0,192.29640000000006,1.0
18,3357.0,171.04309999999998,1.0
19,3375.0,181.14460000000003,1.0
18,3393.0,160.88610000000003,1.0
18,3411.0,170.98369999999997,1.0
19,3429.0,171.05839999999998,1.0
17,3446.0,160.4533,1.0
19,3464.0,171.88799999999998,1.0
20,3484.0,190.69370000000006,1.0
18,3502.0,150.95130000000003,1.0
18,3519.0,170.97799999999998,1.0
21,3539.0,202.70050000000003,1.0
17,3555.0,160.3566,1.0
18,3573.0,160.71429999999998,1.0
18,3590.0,170.8169,1.0
20,3610.0,191.70890000000003,1.0
21,3631.0,202.4748,1.0
18,3649.0,160.8404,1.0
20,3669.0,192.51249999999996,1.0
19,3688.0,180.72490000000002,1.0
23,3710.0,223.4758,1.0
19,3728.0,171.6383,1.0
17,3745.0,159.99860000000004,1.0
18,3763.0,140.05979999999997,1.0
20,3783.0,182.57920000000001,1.0
20,3802.0,192.2592,1.0
21,3823.0,202.65150000000006,1.0
21,3844.0,202.73110000000003,1.0
21,3865.0,202.22719999999998,1.0
22,3886.0,192.7825,1.0
20,3906.0,171.5494,1.0
19,3924.0,181.43920000000003,1.0
22,3945.0,202.9314,1.0
24,3968.0,233.6094,1.0
17,3984.0,160.2868,1.0
19,4003.0,181.52030000000002,1.0
19,4021.0,181.69699999999997,1.0
17,4037.0,149.82370000000003,1.0
22,4058.0,212.8603,1.0
20,4078.0,181.93789999999996,1.0
22,4099.0,212.7134,1.0
22,4121.0,212.5682,1.0
19,4139.0,171.17050000000003,1.0
20,4159.0,191.6146,1.0
22,4180.0,213.0362,1.0
17,4197.0,160.5105,1.0
20,4217.0,171.95209999999997,1.0
20,4237.0,171.43069999999994,1.0
19,4256.0,181.55740000000003,1.0
22,4277.0,202.8228,1.0
18,4294.0,170.47799999999998,1.0
19,4313.0,181.21100000000004,1.0
20,4332.0,192.59949999999995,1.0
20,4352.0,161.7251,1.0
20,4371.0,192.17659999999998,1.0
20,4390.0,191.5974,1.0
22,4412.0,213.19249999999997,1.0
21,4432.0,192.0059,1.0
21,4452.0,202.85149999999996,1.0
20,4472.0,181.89190000000002,1.0
20,4491.0,182.3302,1.0
21,4512.0,192.35820000000004,1.0
21,4533.0,202.4926,1.0
20,4553.0,172.44259999999997,1.0
21,4573.0,182.5127,1.0
20,4593.0,191.68460000000002,1.0
20,4612.0,192.119,1.0
22,4633.0,201.9817,1.0
20,4653.0,182.23370000000006,1.0
21,4673.0,202.55909999999997,1.0
19,4692.0,181.1134,1.0
24,4715.0,233.6673,1.0
19,4734.0,180.93269999999998,1.0
21,4754.0,202.2108,1.0
21,4774.0,202.98200000000003,1.0
20,4793.0,181.80780000000004,1.0
20,4813.0,191.98430000000005,1.0
21,4834.0,182.3829,1.0
20,4854.0,191.922,1.0
21,4874.0,181.68110000000001,1.0
21,4895.0,202.4838,1.0
21,4915.0,202.50890000000004,1.0
18,4933.0,170.5616,1.0
19,4952.0,181.50470000000004,1.0
21,4973.0,202.36280000000005,1.0
21,4993.0,191.83440000000002,1.0
20,5013.0,192.3214,1.0
19,5031.0,181.11050000000003,1.0
22,5052.0,213.37579999999997,1.0
18,5069.0,150.524,1.0
23,5091.0,223.6954,1.0
22,5113.0,212.64700000000002,1.0
20,5133.0,181.89930000000004,1.0
19,5152.0,171.2595,1.0
20,5171.0,191.64329999999998,1.0
22,5193.0,212.57540000000003,1.0
21,5213.0,202.3342,1.0
20,5233.0,192.45929999999998,1.0
21,5253.0,202.53040000000001,1.0
21,5273.0,192.72449999999998,1.0
19,5292.0,181.55190000000007,1.0
19,5311.0,170.9818,1.0
17,5328.0,160.62550000000002,1.0
21,5348.0,202.78449999999998,1.0
20,5368.0,181.9909,1.0
18,5385.0,150.8371,1.0
19,5404.0,181.0835,1.0
19,5422.0,171.10539999999997,1.0
21,5443.0,182.34860000000003,1.0
23,5465.0,223.1816,1.0
20,5485.0,192.1572,1.0
19,5504.0,181.1815,1.0
19,5523.0,181.5593,1.0
21,5543.0,202.9503,1.0
18,5561.0,170.8779,1.0
20,5581.0,192.0735,1.0
21,5601.0,192.0959,1.0
22,5623.0,213.10290000000003,1.0
21,5644.0,192.36990000000003,1.0
19,5662.0,160.9384,1.0
18,5680.0,160.1461,1.0
20,5700.0,192.27720000000005,1.0
21,5720.0,202.49369999999996,1.0
20,5740.0,182.01919999999998,1.0
18,5758.0,170.8813,1.0
19,5776.0,181.58520000000001,1.0
22,5797.0,192.4359,1.0
22,5818.0,213.85359999999997,1.0
17,5834.0,139.7065,1.0
19,5852.0,181.30599999999998,1.0
20,5872.0,191.82329999999996,1.0
18,5889.0,170.59619999999998,1.0
19,5907.0,181.46900000000002,1.0
23,5929.0,213.41700000000003,1.0
19,5947.0,181.59210000000002,1.0
19,5965.0,171.55490000000006,1.0
18,5982.0,170.9564,1.0
20,6001.0,191.82580000000004,1.0
21,6021.0,202.16630000000004,1.0
21,6041.0,202.24160000000003,1.0
19,6060.0,181.94549999999998,1.0
16,6076.0,139.4526,1.0
20,6096.0,191.8314,1.0
21,6117.0,192.41479999999999,1.0
22,6138.0,212.6526,1.0
21,6159.0,202.85559999999998,1.0
22,6180.0,213.0579,1.0
20,6199.0,181.76650000000004,1.0
21,6219.0,172.33510000000007,1.0
23,6242.0,213.35559999999998,1.0
22,6263.0,212.64479999999998,1.0
21,6283.0,202.90200000000007,1.0
19,6301.0,181.74609999999998,1.0
19,6320.0,181.18329999999995,1.0
18,6337.0,160.235,1.0
16,6353.0,139.16649999999998,1.0
20,6372.0,191.8664,1.0
19,6391.0,181.0723,1.0
19,6410.0,181.7002,1.0
21,6431.0,202.5908,1.0
19,6449.0,161.2901,1.0
18,6466.0,171.2766,1.0
17,6483.0,150.25870000000003,1.0
22,6505.0,213.17730000000003,1.0
20,6525.0,182.21479999999997,1.0
23,6548.0,223.73659999999998,1.0
19,6567.0,160.96389999999997,1.0
19,6586.0,161.01630000000003,1.0
18,6604.0,170.7673,1.0
18,6621.0,129.97800000000004,1.0
21,6641.0,203.01999999999995,1.0
18,6659.0,170.40789999999998,1.0
20,6678.0,182.066,1.0
23,6700.0,223.247,1.0
19,6719.0,181.3624,1.0
22,6740.0,203.1197,1.0
20,6759.0,181.5862,1.0
20,6778.0,192.36420000000004,1.0
20,6797.0,181.99069999999998,1.0
19,6815.0,181.5742,1.0
23,6838.0,212.82819999999995,1.0
20,6858.0,192.14650000000003,1.0
18,6875.0,171.17159999999998,1.0
17,6892.0,160.3321,1.0
17,6909.0,150.1934,1.0
18,6927.0,171.1815,1.0
21,6947.0,202.49099999999999,1.0
18,6965.0,161.1732,1.0
18,6983.0,171.4591,1.0
23,7005.0,223.19869999999997,1.0
20,7024.0,192.10600000000002,1.0
21,7045.0,202.66089999999994,1.0
18,7062.0,171.08489999999998,1.0
19,7081.0,181.86370000000002,1.0
21,7102.0,201.98540000000003,1.0
21,7122.0,202.73640000000003,1.0
20,7141.0,182.11889999999997,1.0
23,7163.0,212.6889,1.0
20,7183.0,182.27299999999994,1.0
24,7206.0,234.17370000000003,1.0
20,7226.0,181.21230000000006,1.0
19,7245.0,181.31699999999998,1.0
21,7266.0,202.83640000000003,1.0
18,7283.0,160.7914,1.0
19,7301.0,181.529,1.0
24,7324.0,223.81430000000006,1.0
18,7342.0,171.17629999999997,1.0
22,7364.0,202.5561,1.0
20,7383.0,171.27320000000006,1.0
20,7403.0,192.32370000000003,1.0
21,7423.0,192.26369999999997,1.0
19,7441.0,181.483,1.0
20,7461.0,181.4096,1.0
20,7481.0,191.5661,1.0
18,7498.0,170.61610000000002,1.0
19,7516.0,181.74810000000002,1.0
19,7534.0,181.4507,1.0
21,7555.0,202.19649999999996,1.0
18,7572.0,150.1001,1.0
19,7591.0,182.0254,1.0
19,7609.0,181.32160000000002,1.0
22,7630.0,192.5404,1.0
21,7651.0,192.0072,1.0
19,7669.0,151.17809999999997,1.0
20,7689.0,192.1042,1.0
23,7711.0,213.22579999999996,1.0
18,7729.0,159.90990000000002,1.0
20,7748.0,192.4476,1.0
19,7767.0,181.45749999999998,1.0
20,7786.0,181.9324,1.0
20,7805.0,182.07090000000002,1.0
19,7824.0,181.6172,1.0
16,7840.0,139.8626,1.0
24,7864.0,233.59779999999995,1.0
17,7881.0,159.7515,1.0
17,7898.0,160.4743,1.0
20,7918.0,182.01880000000003,1.0
21,7938.0,171.9941,1.0
18,7955.0,150.86579999999998,1.0
16,7971.0,150.3285,1.0
