x,y
73,21
18,63
55,14
46,21
0,14
0,56
9,7
64,21
64,0
46,21
64,14
0,21
27,0
83,42
83,35
55,0
55,14
18,56
46,49
46,28
83,28
83,7
73,35
83,42
9,14
55,42
27,0
55,21
36,56
83,0
0,14
46,7
64,14
36,0
73,63
64,63
0,49
18,35
46,35
55,28
55,21
27,21
46,21
73,56
9,0
18,56
55,42
18,63
36,35
73,28
27,14
36,42
46,49
0,14
9,63
9,21
64,28
36,0
83,42
27,28
83,56
73,56
36,7
64,63
73,56
0,63
27,7
83,49
0,0
0,35
55,21
36,42
27,42
64,14
83,56
83,28
46,42
55,42
73,56
83,56
36,7
46,35
46,21
36,56
36,42
0,42
36,42
46,35
73,35
83,42
27,63
73,28
9,49
46,28
55,49
55,49
0,42
0,21
73,7
55,42
36,63
64,21
46,42
18,28
73,49
64,56
18,7
73,63
9,42
73,7
64,56
9,42
64,42
55,14
36,14
36,0
27,49
55,28
73,63
73,42
83,56
0,56
18,56
0,0
46,42
9,0
9,28
18,21
9,42
55,28
64,28
73,42
27,49
73,49
0,28
73,21
27,56
0,14
55,21
46,42
55,21
64,35
0,35
18,49
64,49
46,0
83,56
27,35
27,56
0,7
9,63
73,63
9,28
0,0
18,42
73,35
64,35
73,14
9,7
73,49
55,35
0,49
27,0
73,21
9,49
0,35
83,28
64,63
55,42
46,35
27,56
64,14
18,0
9,14
0,28
55,21
64,28
27,42
64,21
83,14
64,14
9,56
55,63
36,35
0,42
9,14
46,42
55,35
9,28
73,14
18,49
46,35
27,42
0,35
46,56
55,63
73,14
46,49
27,0
64,28
27,63
55,35
55,7
55,63
83,14
83,42
55,49
36,35
46,28
27,63
27,0
46,28
36,21
0,14
9,21
83,63
18,28
36,49
27,63
27,42
27,14
18,0
64,14
64,49
73,49
73,14
0,0
27,7
64,56
64,35
55,42
9,21
55,7
55,42
55,21
27,21
27,14
73,21
83,42
27,35
36,35
27,42
36,7
83,49
46,14
36,42
36,56
46,0
55,49
73,42
27,14
27,42
55,28
55,7
73,0
18,21
73,14
64,0
18,56
64,42
73,28
83,56
18,14
0,7
83,0
83,35
64,56
9,63
73,35
83,56
46,21
27,7
18,0
27,14
83,14
83,14
18,28
27,28
55,56
83,35
18,14
73,0
0,49
18,14
55,42
64,42
0,21
83,42
55,14
64,7
36,0
0,63
55,7
0,7
83,49
0,0
9,35
83,42
83,35
27,21
27,63
83,63
27,0
18,35
9,35
64,56
9,56
9,63
0,35
36,42
18,14
36,56
83,56
18,0
0,63
73,42
27,63
73,0
36,14
73,21
46,63
0,14
83,63
0,28
36,49
27,42
27,7
55,7
27,28
27,7
0,63
55,49
0,14
64,63
55,0
64,49
36,49
9,0
36,14
83,63
55,14
36,49
27,0
55,49
18,63
83,49
9,49
73,49
46,7
46,56
18,7
27,28
55,21
73,14
27,7
73,28
9,21
55,35
0,56
27,0
9,14
64,0
27,28
83,28
46,63
27,0
36,21
9,49
46,28
9,7
0,21
64,35
46,56
18,56
36,0
9,35
36,28
46,56
0,42
83,56
0,14
46,42
0,21
18,49
0,14
73,28
36,63
0,49
36,21
55,35
83,28
18,7
83,56
64,56
46,0
0,7
83,0
9,35
64,63
0,35
27,14
83,28
27,63
73,56
46,7
73,63
0,42
64,21
36,14
83,21
73,56
0,7
83,63
46,21
27,28
9,56
0,42
64,42
0,49
83,42
18,0
46,0
9,21
0,7
0,63
73,35
0,56
27,56
83,14
36,7
36,35
64,42
27,21
36,0
0,56
64,49
64,63
46,49
73,63
0,0
