pseudo reward per epoch,reward per epoch,cumulative reward
-74.44370000000006,1,91.0
-168.51679999999928,0,91.0
-86.25609999999993,1,92.0
-69.35460000000003,0,92.0
-53.944800000000015,0,92.0
-82.14209999999997,0,92.0
-88.13330000000003,0,92.0
-77.17889999999997,0,92.0
-108.19109999999993,1,93.0
-68.93809999999999,0,93.0
-100.58439999999992,0,93.0
-117.68490000000023,0,93.0
-82.00410000000004,0,93.0
-78.11319999999998,2,95.0
-60.45510000000001,0,95.0
-72.23339999999999,1,96.0
-109.7987999999999,1,97.0
-46.701400000000014,1,98.0
-53.627500000000026,2,100.0
-39.53650000000001,1,101.0
-130.73130000000003,0,101.0
-23.854799999999926,0,101.0
-71.61039999999993,0,101.0
-145.37539999999996,0,101.0
-45.392100000000006,0,101.0
-76.42920000000004,0,101.0
-54.16409999999998,0,101.0
-104.857,0,101.0
-88.23849999999996,2,103.0
-94.52609999999993,0,103.0
-101.77440000000004,1,104.0
-78.06460000000037,0,104.0
-70.11840000000004,0,104.0
-84.86069999999992,1,105.0
-64.4299,2,107.0
-71.66949999999993,1,108.0
-56.97200000000002,1,109.0
-84.18759999999996,0,109.0
-88.93249999999996,0,109.0
-86.38349999999998,0,109.0
-61.1879,0,109.0
-132.61659999999972,0,109.0
-135.67259999999996,0,109.0
-122.11199999999995,0,109.0
-54.97389999999998,1,110.0
-108.91070000000002,1,111.0
-63.94150000000001,1,112.0
-95.73639999999997,0,112.0
-80.0956999999999,0,112.0
-71.49119999999999,0,112.0
-116.97899999999983,0,112.0
-108.29919999999989,0,112.0
-79.00079999999997,0,112.0
-60.22289999999988,0,112.0
-122.7839,0,112.0
-65.73609999999994,0,112.0
-83.33550000000004,2,114.0
-79.69330000000001,0,114.0
-64.3589,3,117.0
-60.84609999999998,0,117.0
-73.14440000000002,0,117.0
-49.77390000000003,0,117.0
-67.96690000000001,0,117.0
-96.73199999999999,0,117.0
-68.48660000000004,1,118.0
-52.36699999999997,0,118.0
-41.01039999999998,2,120.0
-128.07810000000018,0,120.0
