sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch
25,25.0,181.6601
24,49.0,181.1025
25,74.0,223.22310000000013
24,98.0,201.4409
24,122.0,210.52840000000012
23,145.0,139.8703
23,168.0,179.06759999999994
23,191.0,161.12510000000003
21,212.0,178.5756000000001
26,238.0,222.97029999999995
21,259.0,179.43520000000007
25,284.0,222.3613
27,311.0,244.62710000000007
27,337.0,214.9915000000001
25,362.0,222.97260000000006
23,384.0,169.6498000000001
23,407.0,200.9463
25,432.0,191.56569999999996
22,454.0,149.3556000000001
1,455.0,-25.628199999999993
1,456.0,-30.649400000000018
0,456.0,-31.917899999999996
1,457.0,-14.5399
0,457.0,-30.984599999999997
0,457.0,-42.1717
0,457.0,-30.1366
0,457.0,-37.4782
1,458.0,-17.981100000000005
0,458.0,-48.30259999999998
0,458.0,-32.7925
0,458.0,-35.7167
2,460.0,-3.3835999999999995
2,462.0,-11.692599999999992
0,462.0,-31.512399999999996
2,464.0,-6.955400000000002
1,465.0,-23.420100000000005
0,465.0,-36.54500000000001
1,466.0,-16.801299999999998
2,468.0,-11.829799999999997
1,469.0,-24.2271
0,469.0,-33.971599999999995
1,470.0,-23.118899999999996
1,471.0,-29.487100000000005
0,471.0,-31.860400000000016
1,472.0,-28.89580000000001
0,472.0,-36.310599999999994
2,474.0,-14.769400000000006
0,474.0,-35.65160000000001
1,475.0,-22.929300000000005
1,476.0,-21.2016
0,476.0,-42.42630000000001
3,479.0,-3.3200999999999987
2,481.0,-18.196
1,482.0,-19.6317
1,483.0,-25.441099999999995
1,484.0,-20.122300000000003
0,484.0,-39.28949999999998
1,485.0,-13.057599999999999
0,485.0,-46.126599999999996
0,485.0,-35.8867
2,487.0,-8.934000000000003
0,487.0,-36.8703
1,488.0,-28.519899999999996
1,489.0,-23.2399
1,490.0,-17.685399999999998
0,490.0,-33.73640000000001
1,491.0,-16.328899999999997
0,491.0,-31.20419999999999
1,492.0,-27.984500000000004
1,493.0,-21.875099999999996
0,493.0,-32.321799999999996
0,493.0,-33.7553
0,493.0,-34.81169999999997
1,494.0,-18.674900000000004
0,494.0,-37.04030000000001
0,494.0,-31.9443
0,494.0,-40.20190000000001
1,495.0,-21.452399999999997
1,496.0,-23.918000000000003
0,496.0,-28.98100000000001
0,496.0,-42.80139999999999
1,497.0,-36.74069999999999
1,498.0,-26.6494
3,501.0,0.13610000000000863
2,503.0,-17.297000000000004
0,503.0,-36.3075
0,503.0,-32.0151
0,503.0,-30.071200000000008
0,503.0,-40.35810000000001
0,503.0,-25.476699999999994
5,508.0,20.863999999999994
0,508.0,-50.575900000000026
1,509.0,-23.28119999999999
1,510.0,-17.018000000000004
2,512.0,-8.876300000000004
0,512.0,-41.02050000000003
0,512.0,-26.8638
0,512.0,-38.253799999999984
1,513.0,-26.148799999999987
1,514.0,-17.6112
2,516.0,-10.238200000000004
0,516.0,-36.03520000000002
1,517.0,-27.25519999999999
0,517.0,-27.770099999999996
2,519.0,-6.792000000000005
0,519.0,-34.9286
1,520.0,-21.718599999999995
2,521.0,-15.638000000000012
2,523.0,-9.844800000000003
0,523.0,-51.894999999999975
1,524.0,-28.290499999999984
0,524.0,-34.43879999999999
0,524.0,-38.2412
3,527.0,-2.359700000000001
1,528.0,-35.146100000000004
1,529.0,-32.218899999999984
0,529.0,-44.07209999999999
2,531.0,-12.917799999999996
0,531.0,-43.0072
1,532.0,-16.2422
2,534.0,-12.9271
0,534.0,-42.06779999999999
0,534.0,-44.45189999999997
0,534.0,-31.542899999999985
1,535.0,-16.888899999999992
0,535.0,-31.02709999999998
0,535.0,-35.7625
2,537.0,-9.5554
0,537.0,-37.095099999999995
1,538.0,-24.03870000000001
0,538.0,-47.87980000000004
2,540.0,-14.135700000000009
2,542.0,-8.745500000000003
0,542.0,-40.72199999999999
0,542.0,-24.6579
1,543.0,-34.00199999999999
0,543.0,-45.89800000000001
1,544.0,-29.0401
1,545.0,-25.630900000000004
0,545.0,-41.82759999999999
1,546.0,-30.708800000000007
0,546.0,-30.76240000000001
1,547.0,-24.814000000000025
0,547.0,-32.0272
1,548.0,-27.88919999999999
0,548.0,-32.36319999999998
3,551.0,0.008099999999997942
0,551.0,-33.20569999999999
0,551.0,-35.18170000000001
0,551.0,-39.35389999999999
1,552.0,-33.9216
0,552.0,-36.08089999999998
1,553.0,-20.224500000000006
2,555.0,-17.154999999999998
0,555.0,-33.97479999999999
3,558.0,0.12169999999999837
0,558.0,-37.48639999999999
1,559.0,-26.74220000000001
0,559.0,-36.806499999999986
1,560.0,-23.265299999999996
0,560.0,-30.511999999999997
1,561.0,-27.902699999999996
2,563.0,-23.078799999999998
