sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch,epsilon
21,21.0,202.48579999999998,1.0
20,40.0,191.99050000000005,1.0
20,59.0,192.59980000000002,1.0
20,79.0,181.31970000000004,1.0
21,99.0,202.7503,1.0
19,117.0,181.8139,1.0
20,136.0,171.31799999999998,1.0
20,155.0,192.7499,1.0
18,173.0,169.99950000000004,1.0
21,193.0,192.2741,1.0
20,212.0,192.2805,1.0
18,230.0,170.67899999999997,1.0
20,249.0,192.18660000000003,1.0
20,268.0,191.66640000000004,1.0
20,288.0,191.88310000000004,1.0
18,306.0,160.31170000000003,1.0
19,325.0,181.8736,1.0
19,344.0,181.54069999999996,1.0
19,363.0,181.83750000000003,1.0
20,383.0,192.16080000000002,1.0
19,401.0,181.1209,1.0
18,419.0,160.6737,1.0
20,438.0,181.84660000000005,1.0
22,460.0,213.30290000000002,1.0
20,479.0,192.59880000000004,1.0
22,501.0,212.80709999999996,1.0
20,520.0,192.2627,1.0
20,539.0,172.1938,1.0
23,561.0,223.26290000000003,1.0
20,580.0,181.75949999999997,1.0
21,600.0,202.20449999999997,1.0
18,618.0,150.4714,1.0
18,635.0,171.16800000000003,1.0
19,653.0,181.5824,1.0
23,675.0,213.3356,1.0
17,692.0,140.1098,1.0
20,711.0,172.10909999999998,1.0
21,731.0,182.17549999999997,1.0
22,753.0,213.26089999999994,1.0
19,772.0,171.07340000000002,1.0
21,793.0,202.86629999999997,1.0
18,811.0,171.56560000000005,1.0
20,830.0,191.96170000000004,1.0
18,848.0,170.89960000000002,1.0
20,868.0,192.3007,1.0
19,887.0,161.1531,1.0
24,910.0,233.97690000000006,1.0
20,929.0,171.05249999999998,1.0
20,948.0,191.70199999999997,1.0
19,966.0,181.4827,1.0
18,984.0,160.85579999999996,1.0
19,1002.0,171.69930000000002,1.0
22,1024.0,212.8706,1.0
20,1044.0,171.8509,1.0
18,1061.0,170.2877,1.0
21,1082.0,192.3217,1.0
17,1099.0,150.50779999999997,1.0
22,1120.0,192.7506,1.0
20,1140.0,181.9373,1.0
20,1160.0,182.8649,1.0
19,1179.0,151.0605,1.0
22,1201.0,202.98440000000005,1.0
20,1220.0,191.2993,1.0
22,1242.0,212.68990000000002,1.0
21,1263.0,202.65040000000005,1.0
21,1284.0,192.44029999999998,1.0
23,1306.0,223.29889999999997,1.0
21,1327.0,202.7068,1.0
17,1344.0,159.3929,1.0
22,1366.0,213.4693,1.0
23,1388.0,203.086,1.0
19,1406.0,171.519,1.0
19,1425.0,181.88039999999998,1.0
17,1442.0,140.1776,1.0
19,1461.0,181.19730000000004,1.0
18,1479.0,160.90189999999998,1.0
20,1498.0,171.9988,1.0
22,1519.0,182.2876,1.0
19,1537.0,181.15859999999998,1.0
18,1555.0,161.0553,1.0
19,1573.0,181.40619999999998,1.0
18,1591.0,170.7425,1.0
18,1608.0,151.17540000000002,1.0
22,1630.0,192.7479,1.0
19,1649.0,181.61849999999995,1.0
21,1669.0,181.89790000000002,1.0
19,1687.0,181.5409,1.0
18,1704.0,160.6449,1.0
21,1725.0,192.0669,1.0
17,1742.0,150.46359999999999,1.0
21,1763.0,202.5096,1.0
22,1784.0,203.218,1.0
20,1804.0,192.1159,1.0
21,1824.0,192.29449999999997,1.0
19,1842.0,171.11690000000002,1.0
23,1864.0,223.4344,1.0
21,1885.0,192.3249,1.0
22,1907.0,213.00150000000002,1.0
18,1925.0,170.60539999999995,1.0
19,1944.0,171.3975,1.0
21,1965.0,182.8659,1.0
19,1983.0,140.26710000000006,1.0
21,2004.0,202.07050000000004,1.0
20,2023.0,171.76399999999998,1.0
17,2039.0,160.63309999999996,1.0
18,2056.0,160.80340000000007,1.0
20,2076.0,181.5952,1.0
19,2094.0,161.3529,1.0
20,2113.0,192.561,1.0
20,2133.0,192.08120000000005,1.0
18,2150.0,150.76670000000001,1.0
18,2168.0,170.7045,1.0
19,2187.0,181.3315,1.0
22,2209.0,213.54469999999998,1.0
22,2230.0,193.14069999999998,1.0
19,2249.0,181.07100000000003,1.0
18,2267.0,150.4532,1.0
18,2285.0,170.80270000000004,1.0
20,2305.0,191.8467,1.0
19,2324.0,170.78549999999998,1.0
21,2344.0,192.31489999999997,1.0
22,2365.0,192.7028,1.0
20,2384.0,192.40429999999995,1.0
21,2404.0,172.02259999999998,1.0
16,2420.0,149.4616,1.0
21,2441.0,192.5593,1.0
21,2462.0,202.87240000000003,1.0
18,2480.0,170.5233,1.0
22,2501.0,202.6788,1.0
19,2520.0,160.1768,1.0
15,2534.0,138.9093,1.0
18,2552.0,170.9623,1.0
20,2571.0,191.80010000000004,1.0
18,2588.0,170.74050000000003,1.0
21,2608.0,192.22550000000004,1.0
19,2627.0,171.87769999999998,1.0
21,2648.0,192.82759999999993,1.0
20,2668.0,191.89120000000003,1.0
17,2685.0,161.0756,1.0
18,2702.0,171.1533,1.0
17,2718.0,150.1777,1.0
17,2734.0,140.08429999999998,1.0
20,2754.0,161.0853,1.0
17,2771.0,160.67839999999998,1.0
18,2789.0,171.2356,1.0
20,2809.0,192.3381,1.0
19,2828.0,181.51070000000004,1.0
19,2847.0,181.83300000000003,1.0
19,2866.0,171.15280000000004,1.0
20,2885.0,171.3077,1.0
17,2902.0,160.2799,1.0
20,2922.0,192.822,1.0
17,2939.0,160.6658,1.0
19,2957.0,181.7794,1.0
19,2975.0,180.97959999999995,1.0
19,2994.0,171.62400000000005,1.0
20,3014.0,192.2796,1.0
19,3032.0,181.4602,1.0
21,3053.0,192.1478,1.0
17,3070.0,149.6529,1.0
23,3092.0,223.35460000000003,1.0
20,3112.0,182.1861,1.0
20,3132.0,191.9951,1.0
16,3148.0,149.78460000000004,1.0
20,3167.0,172.22019999999998,1.0
20,3186.0,191.87909999999997,1.0
20,3205.0,181.9807,1.0
20,3224.0,192.48289999999997,1.0
20,3243.0,182.09330000000003,1.0
19,3262.0,181.82289999999998,1.0
20,3282.0,191.80790000000005,1.0
21,3302.0,182.15710000000004,1.0
18,3320.0,170.73340000000005,1.0
15,3335.0,129.49630000000002,1.0
20,3355.0,151.0311,1.0
21,3375.0,202.5594,1.0
19,3393.0,171.109,1.0
21,3413.0,202.96630000000002,1.0
20,3432.0,182.1682,1.0
20,3452.0,191.8325,1.0
19,3470.0,181.1641,1.0
19,3489.0,160.98520000000008,1.0
21,3509.0,202.3787,1.0
20,3529.0,192.2761,1.0
21,3550.0,202.78169999999997,1.0
22,3572.0,202.69490000000002,1.0
21,3592.0,182.2884,1.0
20,3612.0,191.77460000000002,1.0
19,3630.0,171.1116,1.0
21,3651.0,202.59949999999998,1.0
21,3672.0,172.04200000000003,1.0
19,3691.0,181.7577,1.0
19,3710.0,171.1641,1.0
22,3732.0,213.31910000000002,1.0
22,3753.0,212.85809999999998,1.0
22,3774.0,212.31560000000002,1.0
22,3795.0,212.7765,1.0
18,3813.0,170.8085,1.0
19,3831.0,181.51350000000002,1.0
19,3849.0,181.31320000000002,1.0
19,3867.0,181.30569999999997,1.0
18,3885.0,171.52279999999996,1.0
20,3905.0,192.66129999999995,1.0
19,3924.0,181.35929999999996,1.0
21,3944.0,202.3248,1.0
20,3964.0,192.48550000000003,1.0
18,3982.0,171.47300000000004,1.0
20,4001.0,191.98530000000002,1.0
19,4019.0,170.742,1.0
21,4040.0,201.94849999999997,1.0
22,4061.0,212.9367,1.0
22,4082.0,202.80990000000003,1.0
18,4100.0,160.6019,1.0
20,4119.0,161.66389999999996,1.0
18,4137.0,150.1944,1.0
20,4157.0,192.32260000000008,1.0
21,4178.0,202.65390000000002,1.0
22,4200.0,212.84279999999995,1.0
21,4220.0,202.0875,1.0
19,4238.0,181.53789999999998,1.0
20,4257.0,182.0648,1.0
23,4280.0,213.53490000000005,1.0
20,4299.0,191.8949,1.0
19,4317.0,171.31930000000003,1.0
19,4335.0,181.69269999999995,1.0
21,4355.0,203.03519999999997,1.0
17,4372.0,150.531,1.0
22,4393.0,212.6955,1.0
21,4414.0,192.39619999999996,1.0
22,4435.0,213.12109999999998,1.0
19,4453.0,181.0924,1.0
20,4472.0,191.891,1.0
19,4490.0,180.9722,1.0
21,4511.0,171.6909,1.0
19,4530.0,161.19519999999997,1.0
20,4550.0,191.88359999999997,1.0
17,4567.0,130.0648,1.0
19,4586.0,160.96589999999992,1.0
20,4606.0,191.9381,1.0
19,4625.0,181.6342,1.0
18,4643.0,170.6912,1.0
19,4662.0,181.4132,1.0
20,4682.0,192.35179999999997,1.0
19,4701.0,181.6029,1.0
18,4718.0,160.65380000000002,1.0
20,4738.0,181.9272,1.0
19,4757.0,171.2343,1.0
21,4778.0,202.53289999999998,1.0
21,4798.0,182.33659999999998,1.0
20,4817.0,191.89059999999998,1.0
19,4836.0,170.92219999999998,1.0
20,4856.0,192.2822,1.0
21,4876.0,202.4178,1.0
21,4896.0,201.7333,1.0
19,4914.0,171.7169,1.0
20,4934.0,191.91329999999996,1.0
21,4955.0,181.6765,1.0
18,4973.0,170.7593,1.0
21,4994.0,191.8183,1.0
21,5015.0,202.65359999999998,1.0
21,5035.0,202.807,1.0
18,5052.0,150.25830000000002,1.0
21,5073.0,192.88679999999997,1.0
21,5094.0,202.77069999999998,1.0
23,5117.0,213.2692,1.0
22,5139.0,213.1194,1.0
22,5161.0,202.48970000000003,1.0
20,5181.0,182.1423,1.0
20,5201.0,181.8142,1.0
19,5220.0,181.82479999999998,1.0
19,5239.0,171.62449999999998,1.0
20,5258.0,191.6424,1.0
21,5278.0,202.07780000000002,1.0
21,5298.0,192.55060000000003,1.0
22,5320.0,213.0905,1.0
20,5339.0,182.07680000000002,1.0
21,5360.0,202.32980000000003,1.0
16,5375.0,149.742,1.0
16,5391.0,150.07990000000004,1.0
18,5409.0,170.9938,1.0
20,5428.0,181.6505,1.0
18,5446.0,160.64610000000002,1.0
20,5465.0,171.3825,1.0
18,5483.0,149.7908,1.0
21,5504.0,202.24629999999996,1.0
19,5523.0,182.13790000000003,1.0
20,5543.0,192.4063,1.0
22,5565.0,212.7943,1.0
20,5585.0,192.33980000000005,1.0
20,5605.0,171.95619999999997,1.0
23,5628.0,223.19480000000001,1.0
19,5647.0,171.6683,1.0
17,5663.0,160.58990000000003,1.0
